time,Stimuli_Woman&KnockingSoundResume_trigger,Stimuli_KnockingSoundResume_trigger,Stimuli_Woman&KnockingSoundPause_trigger,Stimuli_DoorOpeningSound_trigger,Stimuli_DoorOpeningSound_distance,Stimuli_WomanSound_trigger,Stimuli_DoorKnockingSound_trigger,Stimuli_DoorFrontArea_trigger,Stimuli_DoorFrontArea_distance,Stimuli_EnvironmentSound_trigger,ClosetDoor_Handle_trigger,RedDoor_Lock_trigger,RedDoor_Handle_trigger,Door_3_Handle_trigger,Door_2_Handle_trigger,RightHandLight_trigger,LeftHandLight_trigger
0,,,,,6.810084,,,,11.93666,,,,,,,,
0.2665094,,,,,7.077495,,,,12.26918,,,,,,,,
0.5404667,,,,,7.077931,,,,12.26972,,,,,,,,
0.819395,,,,,7.077341,,,,12.26951,,,,,,,,
1.085213,,,,,7.083354,,,,12.27551,,,,,,,,
1.344358,,,,,7.08792,,,,12.27986,,,,,,,,
1.623522,,,,,7.082724,,,,12.27505,,,,,,,,
1.889734,,,,,7.079451,,,,12.27215,,,,,,,,
2.154085,,,,,4.239916,,,,9.452797,,,,,,,,
2.413534,,,,,4.224411,,,,9.439878,,,,,,,,
2.679904,,,,,4.191008,,,,9.407897,,,,,,,,
2.950067,,,,,4.153423,,,,9.371234,,,,,,,,
3.203246,,,,,3.551735,,,,8.806926,,,,,,,,
3.46382,,,,,3.589753,,,,8.842469,,,,,,,,
3.725806,,,,,3.663672,,,,8.91567,,,,,,,,
3.993017,,,,,3.706634,,,,8.95883,,,,,,,,
4.264805,,,,,3.715875,,,,8.968013,,,,,,,,
4.53129,,,,,3.71121,,,,8.962584,,,,,,,,
4.803352,,,,,3.710709,,,,8.961649,,,,,,,,
5.062705,,,,,3.713853,,,,8.964972,,,,,,,,
5.321447,,,,,2.774863,,,,8.021984,,,,,,,,
5.590968,,,,,2.783344,,,,8.029119,,,,,,,,
5.841254,,,,,2.798301,,,,8.042254,,,,,,,,
6.116428,,,,,2.809617,,,,8.054316,,,,,,,,1
6.370696,,,,,2.797705,,,,8.045872,,,,,,,,1
6.635422,,,,,2.785424,,,,8.03966,,,,,,,,1
6.888998,,,,,2.782698,,,,8.038837,,,,,,,,1
7.157829,,,,,2.779448,,,,8.036776,,,,,,,,1
7.427938,,,,,2.779522,,,,8.037393,,,,,,,,
