time,ChestTurnRight,ChestTurnLeft
0
0.2665094,0.3169242,
0.5404667,0.311847,
0.819395,0.2754656,
1.085213,0.1506006,
1.344358,0.2105101,
1.623522,0.1959846,
1.889734,0.1796979,
2.154085,0.1598408,
2.413534,0.1111431,
2.679904,0.08783607,
2.950067,0.05708901,
3.203246,0.04047938,
3.46382,0.1177952,
3.725806,,0.07930387
3.993017,,0.0129276
4.264805,,0.06749705
4.53129,,0.07529353
4.803352,,0.05822723
5.062705,,0.08811402
5.321447,,0.08867004
5.590968,,0.08271433
5.841254,,0.1478121
6.116428,,0.1593404
6.370696,,0.1369474
6.635422,0.07202844,
6.888998,0.1361661,
7.157829,0.1429617,
7.427938,0.145469,
7.679521,0.1417373,
7.93022,0.1528725,
8.18197,0.1501477,
8.434099,0.1490368,
8.700534,0.1365825,
8.966544,0.1373844,
9.226118,0.1310485,
9.482974,0.127426,
9.740829,0.1206341,
10.00458,0.1132938,
10.5037,0.1025879,
10.75462,0.09999628,
11.00953,0.06225335,
11.27023,0.005655429,
11.52365,,0.01668096
11.7943,,0.03999395
12.05935,,0.0199146
12.33078,,0.01974524
12.58245,,0.03119823
12.84222,,0.06283826
13.09605,,0.1689577
13.3463,,0.2964642
13.60994,,0.3655926
13.87322,,0.3802467
14.12825,,0.4187095
14.39078,,0.3796919
14.65473,,0.4227501
14.90623,,0.4440011
15.16968,,0.4672079
15.43267,,0.4627372
15.68714,,0.2206032
15.94794,,0.06960525
16.20201,,0.06978169
16.63308,,0.09913533
16.89669,,0.08223439
17.1491,,0.02805719
17.40983,0.03102267,
17.68751,0.1343435,
17.9393,0.1666213,
18.3221,0.1796486,
18.58782,0.181472,
18.84383,0.1836636,
19.09594,0.1778404,
19.34741,0.0981516,
19.60839,,0.07316757
19.86261,,0.2045092
20.12671,,0.2524968
20.38253,,0.3194773
20.6484,,0.3612532
20.89865,,0.4131748
21.16751,,0.4589148
21.42163,,0.450189
21.68594,,0.4088252
21.93905,,0.437849
22.20014,,0.4418181
22.45428,,0.5713962
22.70439,,0.6460798
22.95465,,0.7910397
23.21593,,0.9584596
23.48286,,1.108592
23.74417,,1.16759
23.99648,,1.249389
24.26431,,1.305058
24.5237,,1.28738
24.77621,,1.140949
25.02947,,0.8013052
25.29056,,0.5043108
25.54337,,0.1986163
25.80671,0.02787314,
26.07076,0.1618524,
26.33462,0.2407345,
26.58541,0.2330408,
26.83832,0.2196447,
27.1009,0.2203435,
27.36542,0.3738292,
27.61612,0.465061,
27.86797,0.456389,
28.11966,0.4449639,
28.38088,0.4816482,
28.65033,0.4595592,
28.91321,0.3211882,
29.17439,,0.03786483
29.43889,,0.367644
29.7041,,0.6800254
29.96818,,0.8672375
30.23702,,0.9800981
30.49935,,1.0922
30.76542,,1.229101
31.02579,,1.223262
31.27744,,1.124303
31.52907,,1.097137
31.79273,,1.114476
32.05679,,1.120484
32.32148,,1.068527
32.57214,,0.8780626
32.82481,,0.6376906
33.08746,,0.4485774
33.34088,,0.2668293
33.60362,,0.06219346
33.85499,0.06489517,
34.11609,0.1611681,
34.36983,0.2103994,
34.63074,0.2479584,
34.88305,0.240385,
35.13391,0.1421635,
35.39653,0.07412945,
35.65036,,0.003671452
35.915,,0.04501282
36.18267,,0.0963167
36.4408,,0.1189757
36.69381,,0.08111658
36.95917,0.1765001,
37.2092,0.3097631,
37.46035,0.239726,
37.72322,0.2174272,
37.97653,0.1911867,
38.23054,0.18393,
38.50497,0.1930206,
38.76808,0.2139325,
39.02038,0.2171526,
39.28239,0.3220809,
39.54709,0.5968802,
39.79872,0.810483,
40.05033,0.9546252,
40.31633,1.105622,
40.57737,1.271704,
40.84045,1.350308,
41.09119,1.503506,
41.3423,1.481425,
41.59318,1.489489,
41.84569,1.447416,
42.11098,1.454389,
42.3732,1.460108,
42.63397,1.392891,
42.89893,1.130383,
43.17717,0.7612656,
43.43455,0.3978075,
43.699,0.1695299,
43.96263,,0.007998011
44.21299,,0.1190174
44.47341,,0.2012274
44.72739,,0.2571356
44.99166,,0.3113897
45.24168,,0.3099373
45.50888,,0.3503953
45.77225,,0.3920405
46.03345,,0.3997989
46.28649,,0.3992566
46.5503,,0.3973334
46.81263,,0.4231302
47.07737,,0.4575687
47.33254,,0.4994574
47.59554,,0.5124018
47.85813,,0.3997628
48.11072,,0.2414266
48.36589,,0.1453594
48.62595,,0.054226
48.88922,,0.1866227
49.15557,,0.1347364
49.41144,,0.1158709
49.66817,,0.1618794
49.91959
50.22027
50.519
50.78456
51.07562
51.35038
51.70549
51.95756
52.21106
52.49802
52.82623
53.08046
53.4223
53.72456
54.07849
54.41182
