time,ChestTurnRight,ChestTurnLeft
0,null,null
0.2717934,,0.2136706
0.5255268,,0.216313
0.7935703,,0.2518447
1.047706,,0.2404702
1.304152,,0.1652472
1.554404,,0.1751582
1.814361,,0.2130505
2.072142,,0.1931556
2.347356,,0.1888404
2.607327,,0.1724964
2.865484,,0.09134642
3.123833,0.008723261,
3.375541,,0.01710148
3.640825,,0.05310608
3.906425,,0.02256402
4.167007,,0.007934329
4.431484,,0.02451333
4.683334,0.03883796,
4.937318,0.03795282,
5.191624,0.04122847,
5.447223,0.03066934,
5.710677,0.03828888,
5.963362,0.01776393,
6.227269,0.009038797,
6.479009,0.006950841,
6.743336,,0.01820324
7.009485,,0.05783831
7.260032,,0.2325913
7.527431,,0.2592425
7.80301,,0.2962806
8.061826,,0.259462
8.314471,,0.3499751
8.566466,,0.3791397
8.828695,,0.1893118
9.084059,,0.2390182
9.347182,,0.2910354
9.697408,null,null
9.977081,null,null
10.26855,null,null
10.55261,null,null
10.8641,null,null
11.12758,null,null
11.38353,null,null
11.64096,null,null
11.89417,null,null
12.15418,null,null
12.57998,null,null
