time,PalmTurnRight,PalmTurnLeft,PalmUp,PalmDown,PalmTiltLeft,PalmTiltRight,Thumb_Curl,Thumb_Flexion,Thumb_Abduction,Index_Curl,Index_Flexion,Index_Abduction,Index_Opposition,Middle_Curl,Middle_Flexion,Middle_Abduction,Middle_Opposition,Ring_Curl,Ring_Flexion,Ring_Abduction,Ring_Opposition,Pinky_Curl,Pinky_Flexion,Pinky_Opposition
0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0.2717934,,0.6357099,0.1344574,,0.9342454,,193.6853,130.8289,22.40381,209.77,216.893,13.08612,0.03368804,214.9968,219.6281,10.15073,0.0460076,212.3938,221.6604,10.33504,0.05736771,193.6853,218.6771,0.06945158
0.5255268,,0.6174295,0.1934291,,0.8187523,,184.8117,133.6698,27.44732,207.4193,216.9143,12.11609,0.03924387,210.1231,218.8621,10.45596,0.05456002,208.305,221.5832,10.66278,0.0648737,184.8117,219.8839,0.07643782
0.7935703,,0.2285689,0.2361072,,,0.2420446,182.1103,158.6179,38.9492,181.2311,187.5303,19.11213,0.09507823,179.0423,193.4683,17.16301,0.1211058,180.1643,194.4312,27.79783,0.1307499,182.1103,195.508,0.1423371
1.047706,,0.1321887,,0.05396848,,0.1663296,179.9916,149.1764,37.48082,189.7823,180.4215,38.45879,0.08416773,194.4201,213.2327,22.62067,0.09329901,198.1166,228.4883,13.54016,0.09765592,179.9916,236.5346,0.1019731
1.304152,0.06419296,,0.229545,,,0.5301126,184.2506,149.2609,59.61312,240.0341,200.181,65.42541,0.05859835,261.7813,250.2362,24.26652,0.07558557,259.8099,251.5346,19.85032,0.09138503,184.2506,243.7923,0.101888
1.554404,0.009971542,,,0.2145472,,0.7545682,180.9521,141.1966,45.42402,181.5024,188.6503,121.9065,0.09420367,251.8452,253.354,18.91255,0.07998163,248.5573,261.2965,16.01112,0.09625209,180.9521,259.8591,0.1073624
1.814361,0.1637758,,,0.2016685,,0.8696456,179.3285,139.4066,51.63905,181.9254,188.3909,124.4364,0.1035884,252.9243,255.2839,19.70412,0.08117514,249.9122,263.487,18.0457,0.09785519,179.3285,262.3273,0.1108713
2.072142,0.2223565,,,0.234941,,0.7415394,199.5325,303.6126,40.31348,225.4424,224.7402,47.73883,0.01566332,252.2286,251.8022,17.88663,0.05767533,249.9151,259.1001,15.73598,0.06894822,199.5325,259.2696,0.07607301
2.347356,0.1521404,,,0.255259,,0.7610987,177.0808,140.1011,43.4571,178.8955,184.5409,106.536,0.09507139,234.066,245.2598,24.36022,0.0779957,241.0465,259.5663,11.84585,0.09311598,177.0808,261.0887,0.1031231
2.607327,0.1807774,,,0.4684286,,0.6059844,191.3855,292.6801,53.77649,232.7999,226.4516,34.04806,0.02846853,244.3642,250.6603,15.44314,0.05817034,242.6373,259.2549,12.01495,0.07142225,191.3855,262.7854,0.07868329
2.865484,0.1992959,,,0.4433888,,0.4621768,190.0773,286.427,36.08298,225.7409,211.2795,46.58941,0.0153681,244.5151,243.1918,15.64805,0.05436144,245.3409,249.4521,12.35021,0.06719391,190.0773,248.4716,0.07429774
3.123833,0.130518,,,0.2895212,,0.4168061,190.0394,283.0894,13.87042,220.0992,192.063,58.66564,0.01989784,240.0305,235.4712,18.67359,0.04717652,241.9169,245.6673,11.90069,0.06432058,190.0394,248.5359,0.07267482
3.375541,0.115298,,,0.03847215,,0.4515978,197.3384,217.0191,33.97685,236.4337,206.2256,39.1586,0.01736575,244.2653,238.7906,22.01824,0.05183794,249.2292,248.3395,13.03077,0.07017767,197.3384,251.2346,0.078266
3.640825,0.1206585,,0.03870704,,,0.4360801,198.4634,160.3241,35.52864,238.3087,202.6923,43.32263,0.01863567,245.9251,240.6723,18.89573,0.05427136,248.5867,248.6288,12.57896,0.06985381,198.4634,246.6629,0.07695313
3.906425,0.1662998,,0.07874671,,,0.4808235,200.3,200.173,38.14879,237.0141,209.0489,39.06749,0.01692421,248.0605,239.7683,19.20199,0.05063321,250.674,246.6642,14.66589,0.06576143,200.3,245.6665,0.07412059
