time,PalmTurnRight,PalmTurnLeft,PalmUp,PalmDown,PalmTiltLeft,PalmTiltRight,Thumb_Curl,Thumb_Flexion,Thumb_Abduction,Index_Curl,Index_Flexion,Index_Abduction,Index_Opposition,Middle_Curl,Middle_Flexion,Middle_Abduction,Middle_Opposition,Ring_Curl,Ring_Flexion,Ring_Abduction,Ring_Opposition,Pinky_Curl,Pinky_Flexion,Pinky_Opposition
0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0.2717934,0.3719904,,0.3824207,,,0.5849307,,,,,,,,,,,,,,,,,,
0.5255268,0.3357448,,0.353971,,,0.4560325,185.136,303.4456,13.70536,204.4953,209.381,12.45272,0.03639449,201.8263,219.317,10.22739,0.04737821,201.864,221.5498,9.394755,0.0534685,185.136,219.3089,0.0623645
0.7935703,0.01565746,,0.2215444,,0.6288384,,180.2972,169.7449,20.82006,192.0885,198.0992,21.86269,0.06604619,185.2002,199.0099,17.21521,0.0964174,190.44,185.1821,31.73947,0.1120784,180.2972,174.1034,0.1336589
1.047706,,0.2393991,0.2103533,,0.2586491,,199.4517,189.3497,6.982329,197.646,192.3441,14.95776,0.05333142,190.0104,195.5246,12.00044,0.07582055,191.8741,191.594,16.55777,0.08086301,199.4517,182.71,0.08710918
1.304152,,0.3560585,0.5703951,,0.08148514,,192.8863,165.4027,9.325778,220.0399,188.883,17.83372,0.02891015,215.3141,205.1658,11.67585,0.04145519,215.5166,205.4241,13.80155,0.05032213,192.8863,195.5823,0.06524018
1.554404,,0.3988857,0.6134355,,0.06803598,,197.8147,197.3213,5.144681,215.9301,186.8149,24.9724,0.03370525,221.7209,204.9173,11.53311,0.03485949,222.1051,204.6521,13.60971,0.04452575,197.8147,193.4707,0.05865216
1.814361,,0.3888717,0.5625918,,0.1385902,,197.7935,252.6166,4.29938,215.0463,190.7446,28.50884,0.03217576,223.1196,211.4344,11.86305,0.02884232,224.0362,212.5193,12.85754,0.03979156,197.7935,201.8152,0.05306465
2.072142,,0.3306792,0.5623506,,0.09514011,,197.0683,276.91,1.90156,212.2541,192.6797,34.08298,0.03621225,224.2988,216.7041,12.62301,0.02715076,227.8347,217.5234,11.38688,0.03936439,197.0683,205.5897,0.05110238
2.347356,,0.3234203,0.5986619,,0.05816903,,194.9085,275.5335,6.577304,211.2874,197.6394,35.36514,0.03190491,223.6087,222.816,13.66037,0.03096662,227.7261,225.5643,9.452969,0.04471832,194.9085,215.8891,0.05356863
