time,AU1_InnerBrowRaiser,AU2_OuterBrowRaiser,AU4_BrowLowerer,AU5_UpperLidRaiser,AU7_LidTightener,AU43_EyesClosed,AU20_LipStretcher,AU51_HeadTurnLeft,AU52_HeadTurnRight,AU53_HeadUp,AU54_HeadDown,AU55_HeadTiltLeft,AU56_HeadTiltRight,AU61_EyesLookLeft,AU62_EyesLookRight,AU63_EyesLookUp,AU64_EyesLookDown,AU26_JawDrop
0,,,,,,,,,,,,,,,,,,
0.3850151,0.09739292,0,0.2869393,0,0.1479722,0.0108342,0,,0.06495853,,0.2466124,0.03001868,,0.2841765,0,0,0.05692338,0.006960155
0.6466448,0.16784,0,0.3273593,0.001075219,0.1862807,0.03080869,0,,0.08919165,,0.3146477,0.03405308,,0.1164693,0,0,0.1051663,0.01074256
0.9180018,0.158914,0.007130821,0.2883046,0.005714149,0.170965,0.006580446,0,,0.1397039,,0.4378004,0.06984062,,0.2453101,0,0,0.04788176,0.01085919
1.181781,0.1464887,0.001220187,0.3506819,1.608788E-05,0.2283929,0.08277758,0,,0.1717793,,0.4095952,0.08813106,,0.041329,0.001984648,0.2169136,0,0.01086526
1.456435,0.3397837,0.04980175,0.3515755,0.09265843,0.2610582,0.05262434,0,,0.2288586,,0.2878518,0.09659977,,0,0.05445163,0.07650325,0,0.01086562
1.73189,0.2963095,0.06048973,0.3403527,0.1798795,0.2429816,0.001823734,0,,0.1740396,,0.2691951,0.0792446,,0.01220359,0.03097847,0,0.03620642,0.01086564
2.010906,0.2145067,0.02661889,0.321906,0.0348529,0.2114625,0.007874457,0,,0.09233987,,0.3144821,0.05577396,,0.09096605,0,0,0.03974282,0.01086564
2.276345,0.2026493,0.01815355,0.3009129,0.08872347,0.219185,0.006203632,0,,0.09611079,,0.3189545,0.0307928,,0.1786515,0,0,0.03672429,0.01086564
2.545939,0.2795526,0.04322118,0.3143628,0.05295201,0.2215924,0.0009528361,0,,0.2345221,,0.281637,0.08286239,,0,0.2973797,0,0.04832434,0.01086564
2.809797,0.1971199,0.03261415,0.2791072,0.001455517,0.1408791,0.03189328,0,,0.2687025,,0.3120761,0.0941711,,0.01796895,0.02541305,0,0.2377177,0.01086564
3.066681,0.1279941,0.003450568,0.3107198,1.420727E-08,0.1650141,0.02565799,0,,0.1117186,,0.3204628,0.03072366,,0.3856183,0,0,0.05284488,0.01035964
3.320295,0.1359884,0.001601828,0.3039473,0.01465328,0.1868539,0.01341828,0,,0.0938265,,0.3505864,0.03773566,,0.09814977,0,0,0.04089256,0.01082711
3.575926,0.1296411,0.001878938,0.3246627,3.101614E-05,0.1102598,0.002532704,0.02591577,,0.02151823,,0.4488289,0.02379914,,0.1896811,0,0,0.06257159,0.01086338
3.840687,0.1171446,0.0003809778,0.3538929,6.211494E-07,0.07187334,0.05897199,0.0178715,,0.02793289,,0.473617,0.03776448,,0,0.1160184,0,0.2645729,0.01086551
4.109404,0.1428037,8.187573E-05,0.3752013,2.919364E-08,0.1406835,0.004199456,0.03163576,,0.2216707,,0.527325,0.0853702,,0,0.07284795,0,0.05888844,0.01086564
4.376515,0.1469323,1.782084E-05,0.3787742,1.678038E-09,0.1280476,0.008193059,0.04166787,,0.2690451,,0.5693433,0.08884861,,0.2110696,0,0,0.05047202,0.01249668
4.650844,0.1468236,3.889793E-06,0.373311,1.008778E-10,0.1390838,0.003615314,0.03979372,,0.174317,,0.5635542,0.05093601,,0.125322,0,0,0.05171753,0.01093991
4.908393,0.1384953,8.495216E-07,0.4033507,6.123935E-12,0.1262975,0.001653098,0.05895425,0.07455868,,,0.5497712,,0.03053034,0.4646524,0,0,0.06684366,0.01086988
5.159292,0.1544874,2.244213E-07,0.4173753,5.286368E-13,0.1523796,0.002276769,0.05512539,0.1923464,,,0.5300784,,0.01602501,0.1416429,0,0,0.05744832,0.010866
5.412975,0.1624019,0.0005609297,0.4127378,0.005161383,0.1089673,0.02685183,0.0510311,0.3085622,,,0.5489686,,0.04069082,0.08451091,0,0,0.1169714,0.01086567
5.669702,0.1590971,0.0005238305,0.5212663,0.0001275206,0.09595405,0.1062641,0.0983032,0.1805123,,,0.5617374,,0.02063789,0.3795688,0,0,0.2296804,0.01086565
5.926974,0.1495656,0.0001126938,0.4745936,5.879661E-06,0.09802793,0.01533215,0.09741124,0.1185348,,,0.5520811,,0.005873349,0.3000153,0,0,0.09024905,0.01086564
6.179875,0.1261264,2.453477E-05,0.4510856,3.384379E-07,0.08324032,0.0320023,0.08893554,0.1176256,,,0.5244393,0.007078264,,0.2920069,0,0,0.1052225,0.01086564
6.443363,0.1133102,5.355337E-06,0.3947639,0.004415022,0.08299144,0.01580069,0.007402289,,0.006449687,,0.3458048,0.08722311,,0,0.246103,0,0.01598805,0.01012173
6.694353,0.1118981,0.01147428,0.2896403,0.09839439,0.08901429,0.01013787,0.002637498,,0.0356644,,0.3073251,0.07921005,,0.2033328,0,0,0.01013757,0.01081045
6.94497,0.1318355,0.009899372,0.2242925,0.2125158,0.08943072,0.0005844434,0.0001616896,,0.08927203,,0.2707901,0.103322,,0,0.1526216,0,0.0005844434,0.01086243
7.198638,0.170226,0.03200753,0.1682968,0.2366736,0.1151078,8.915312E-05,0.002072503,,0.2063503,,0.2321859,0.1392071,,0.1429748,0,0,8.915312E-05,0.01086537
7.449847,0.1265561,0.02894921,0.1057454,0.08613351,0.0910569,0.0001092502,0.004144019,,0.2157547,,0.2308035,0.1391093,,0.1381941,0,0,0.0001092502,0.01086563
7.712516,0.04026923,0.003811753,0.1518901,3.530562E-08,0.01300896,0.0346461,0.01013353,,0.1720552,,0.2600113,0.1209931,,0.2565012,0,0,0.07380865,0.01086564
7.965102,0.04746773,0.0006638442,0.1117647,1.724807E-11,0.05620666,0.0001080207,0.003308609,,0.1356262,,0.2893434,0.1017017,,0.1789403,0,0,0.0006542141,0.01086564
8.226583,0.06911553,0.002142838,0.1423711,4.365033E-13,0.04957939,0.03031559,0.03032826,,0.08396287,,0.3447964,0.07950762,,0.05132611,0,0,0.08995236,0.01086564
8.479198,0.01022083,0.000420047,0.2647243,1.841791E-14,0.0005657066,0.1649822,0.06406032,,0.1248399,,0.4181406,0.07693983,,0.1512671,0,0,0.4122561,0.01086564
8.742866,0.0220688,0.0001085215,0.1921843,1.47343E-15,0.001091946,0.007532511,0.07638433,,0.1660906,,0.476203,0.08300874,,0.07314282,0,0,0.02691223,0.01086564
8.997164,0.02635708,2.355653E-05,0.1722683,8.777517E-17,0.01411349,0.01065837,0.06999992,,0.1548455,,0.4890656,0.08005558,,0.06546421,0,0,0.01450814,0.01086564
9.26159,0.02153873,4.248132E-06,0.1724291,3.746776E-18,0.01130522,0.0001264066,0.08989166,,0.1241649,,0.4837554,0.07057123,,0.1777894,0,0,0.0006305261,0.01086564
9.520313,0.0136465,1.122028E-06,0.2731468,3.233589E-19,0.006522726,0.3098746,0.08982556,,0.1582549,,0.4536469,0.08419885,,0.1069998,0,0,0.32192,0.01086564
9.776488,0.03116925,2.450879E-07,0.225479,1.968146E-20,0.02532392,0.01334682,0.08611434,,0.2413106,,0.4899314,0.09909986,,0.1721114,0,0,0.01744184,0.01086564
10.03558,0.03039838,5.353464E-08,0.1597622,0.009604679,0.03064507,0.0009876731,0.07883132,,0.2354986,,0.5032632,0.1131226,,0.1318245,0,0,0.0009877168,0.01086564
10.28573,0.01500086,1.414298E-08,0.1468857,0.0001494672,0.002106553,0.01033116,0.07238205,,0.2743039,,0.5154407,0.1258082,,0.16863,0,0,0.02184777,0.01086564
10.55153,0.0102479,3.089185E-09,0.1689934,4.018671E-06,0.006408902,0.0008256184,0.0704659,,0.2893838,,0.529733,0.1351602,,0.2288802,0,0,0.005271477,0.01086564
10.82013,0.01007102,6.747778E-10,0.1634769,2.029081E-07,0.01910294,0.0009698296,0.06436227,,0.2726477,,0.5362422,0.136636,,0.2427844,0,0,0.001768389,0.01086564
11.081,0.00698908,1.474018E-10,0.1504138,1.185313E-08,0.02424918,0.0007411552,0.05527961,,0.2606771,,0.5215173,0.1374782,,0.2369972,0,0,0.001337711,0.01086564
11.34559,0.01033502,3.219614E-11,0.1895051,7.149908E-10,0.01721341,0.001047357,0.06552525,,0.2149756,,0.5195696,0.1205631,,0.2587283,0,0,0.001708926,0.01086564
11.60196,0.003993187,8.505719E-12,0.3250825,6.164087E-11,0.02044483,0.002358787,0.07227471,,0.1044763,,0.4804157,0.07981136,,0.6907305,0,0,0.1326812,0.01086564
11.8728,0.0754582,1.536269E-12,0.2259602,0.001856219,0.08263363,0.008267109,0.07076198,,0.09620789,,0.3952235,0.05033426,,0.3445349,0,0,0.008267072,0.01086564
12.13152,0.05146271,0.0009986894,0.169188,0.001327995,0.0368362,0.0001908138,0.06735841,,0.1513246,,0.3674769,0.04305778,,0.1415551,0,0,0.0001908139,0.01086564
12.39164,0.0404079,0.000208724,0.1521064,5.158193E-05,0.04468324,0.008550674,0.05084527,,0.198622,,0.3682331,0.0394836,,0.2078145,0,0,0.008550582,0.01086564
12.65107,0.01614529,5.464434E-05,0.1143316,4.07155E-06,0.05192819,0.00176051,0.04799265,,0.2119274,,0.3701763,0.04176443,,0.1424048,0,0,0.00176051,0.01086564
12.90336,0.005300079,1.190571E-05,0.2700483,2.416971E-07,0.0108134,0.2514903,0.05098981,,0.2228665,,0.3607031,0.04453332,,0.1042867,0,0,0.3601495,0.007065914
13.15601,0.001936113,3.143684E-06,0.101488,2.076898E-08,0.02744222,0.0002679394,0.04043214,,0.2677577,,0.3507491,0.05123613,,0.1801611,0,0,0.00031546,0.01062753
13.40765,0.01234061,6.865848E-07,0.1057766,1.262441E-09,0.01982664,0.02449414,0.03613128,,0.2774629,,0.3022333,0.05915504,,0.0781245,0,0.004460627,0,0.008923596
13.66931,0.1235068,0.01835313,0.01764473,0.164524,0.1208797,7.025802E-08,0.02817578,,0.2711405,,0.2235889,0.06283056,,0.1180855,0,0,7.125259E-08,0.01075501
13.9237,0.1649501,0.02483002,0.03605104,0.03042489,0.1019919,0.0006358487,0.03893265,,0.2716739,,0.1111531,0.06699391,,0.04211966,0.0009900873,0,0.002895689,0.01085967
14.18541,0.166285,0.01689328,0.08080392,0.2660937,0.1304896,5.747886E-06,0.03285279,,0.3215529,,0.07159965,0.07244032,,0.002465172,0.0406268,0.04602594,0,0.01086529
