time,ChestTurnRight,ChestTurnLeft
0
0.3850151,,0.1369122
0.6466448,,0.1908358
0.9180018,,0.1843182
1.181781,,0.1768797
1.456435,,0.2097979
1.73189,,0.1791862
2.010906,,0.1726347
2.276345,,0.1888976
2.545939,,0.1470115
2.809797,,0.1491413
3.066681,,0.1989976
3.320295,,0.2354193
3.575926,,0.2046697
3.840687,,0.166671
4.109404,,0.1202378
4.376515,,0.09411959
4.650844,,0.1146499
4.908393,,0.1537305
5.159292,,0.09320665
5.412975,0.03626387,
5.669702,,0.2021724
5.926974,,0.2861761
6.179875,,0.187635
6.443363,0.05282939,
6.694353,0.1266227,
6.94497,0.1526578,
7.198638,0.1505583,
7.449847,0.1662182,
7.712516,0.1402462,
7.965102,0.08007646,
8.226583,0.01590242,
8.479198,,0.1093024
8.742866,,0.1479372
8.997164,,0.1476998
9.26159,,0.1785724
9.520313,,0.2320701
9.776488,,0.2240284
10.03558,,0.1585862
10.28573,,0.1636021
10.55153,,0.148068
10.82013,,0.1229037
11.081,,0.1278068
11.34559,,0.1328815
11.60196,,0.1618081
11.8728,,0.3374116
12.13152,,0.4334085
12.39164,,0.4920553
12.65107,,0.5139525
12.90336,,0.5259876
13.15601,,0.5648816
13.40765,,0.5567331
13.66931,,0.5279063
13.9237,,0.5043048
14.18541,,0.5368893
14.43576,,0.5590253
14.70098,,0.5541622
14.97149,,0.5403365
15.23472,,0.5397775
15.49854,,0.2897206
15.75752,,0.1995073
16.01072,,0.2325541
16.26119,,0.2706455
16.76189,,0.2852618
17.01328,,0.2458637
17.27644,,0.2034327
17.53549,,0.1416273
17.79009,,0.1269387
18.04441,,0.1721639
18.30698,,0.227683
18.57023,,0.275069
18.82407,,0.3113796
19.08662,,0.3269935
19.33962,,0.2173819
19.60119,,0.02707898
19.85293,0.007223529,
20.11871,0.05169381,
20.36902,0.09098215,
20.63098,0.06261338,
20.88458,0.01243418,
21.13555,,0.003992941
21.40162,0.004855636,
21.66305,0.005612552,
21.93033,,0.01045871
22.19131,0.003931976,
22.44222,,0.02092968
22.69336,,0.02170716
22.962,,0.03614838
23.22211,,0.03008462
23.48502,,0.02157094
23.73534,,0.02515549
24.00095,,0.02283227
24.26532,,0.03438855
24.5197,,0.120338
24.78104,,0.1467867
25.03222,,0.1680057
25.28252,,0.1681269
25.54702,,0.1698152
25.79921,,0.1744333
26.06498,,0.1549792
26.33249,,0.1071136
26.5901,,0.1033654
26.8514,,0.1105748
27.11201,,0.09408557
27.3701,,0.01279801
27.6328,0.07577726,
27.89721,0.1197075,
28.16065,0.1775774,
28.41095,0.1587992,
28.66135,0.06459954,
28.91238,0.006434687,
29.16554,0.004739829,
29.4303,0.01583849,
29.69526,0.02080928,
29.96238,0.1446514,
30.21498,0.1874669,
30.48029,0.2279691,
30.74089,0.1247361,
31.00541,0.04095256,
31.26722,0.03430763,
31.51932,0.03024244,
31.76943,0.01149108,
32.02214,,0.07966982
32.28215,,0.1564543
32.53529,,0.2312084
32.78642,,0.2536378
33.03702,,0.3423722
33.30039,,0.566219
33.55059,,0.6226627
33.81131,,0.5376965
34.06746,,0.4070547
34.32896,,0.2947038
34.5816,,0.2236282
34.846,,0.08532307
35.10963,0.07995476,
35.36205,0.08944453,
35.62402,0.0244798,
35.87955,0.1401195,
36.14151,0.1539845,
36.39326,0.08256541,
36.65736,,0.1405279
36.9211,,0.392215
37.17293,,0.443476
37.42464,,0.3886631
37.70121,,0.366987
37.97279,,0.4187347
38.22578,,0.4677628
38.47752,,0.5890546
38.7311,,0.5719106
38.99538,,0.6196755
39.2454,,0.6135384
39.51537,,0.5377465
39.77398,,0.8501204
40.02473
40.30653
40.56347
40.81633
41.09978
41.35987,,0.4757924
41.63578,,0.3106423
41.88818,,0.1645262
42.15392,,0.04408865
42.41582,0.08212385,
42.68187,0.1056513,
42.94097,0.08448667,
43.19917,,0.05249277
43.45275,,0.0644116
43.71358,,0.09338751
43.98526,,0.02150812
44.23577,,0.1031243
44.50356,,0.02344008
44.77147,,0.009783217
45.0304,0.02849136,
45.29921,,0.1269735
45.56898,,0.04257957
45.89566,,0.04758222
46.15244,,0.06104299
46.42577,,0.07463042
46.67915,,0.04385829
46.93239,,0.02691249
47.19162,,0.01989882
47.47219,,0.03222176
47.72547,,0.0394836
47.97773,,0.03914544
48.2368,,0.04364223
48.48991,,0.04713395
48.74228,,0.04823781
48.99261,,0.05649913
49.25561,,0.05435341
49.50681,,0.05566457
49.77016,,0.08263756
50.02234,,0.1501152
50.28402,,0.1766054
50.53593,,0.2607064
50.78755,,0.1988066
51.05112,,0.0977026
51.30349,,0.03737848
51.56736,,0.04870424
51.81758,,0.06054474
52.08031,,0.1088265
52.33272,,0.1755638
52.58371,,0.1566156
52.83502,,0.1525334
53.09893,,0.1538562
53.36309,,0.154814
53.62675,,0.1581386
53.87878,,0.2272562
54.12975,,0.2111066
54.39077,,0.235692
54.64186,,0.2193353
54.89492,,0.1856803
55.16176,,0.1356784
55.42146,,0.09844546
55.67602,,0.1020651
55.93821,,0.1087203
56.18946,,0.1083597
56.45284,,0.09495823
56.70817,0.02715917,
56.96609,0.06760096,
57.2174,,0.1640648
57.47235,,0.1349763
57.73174,,0.1083503
57.99852,,0.1177944
58.26233,,0.09290417
58.51336,,0.07269754
58.76647,,0.1569775
59.04071,,0.1464889
59.29203,,0.1653512
59.5445,,0.1366003
59.81015,,0.129972
60.07419,,0.1368069
60.33105,,0.1248512
60.58698,,0.1323364
60.83805,,0.09794556
61.09209,,0.1120768
61.3432,,0.1378968
61.61539,,0.02180379
61.88277,,0.07982046
