time,ChestTurnRight,ChestTurnLeft
0,null,null
0.3117621,null,null
0.5688498,null,null
0.8300813,null,null
1.092262,null,null
1.344917,null,null
1.598843,null,null
1.861104,null,null
2.118008,null,null
2.37644,null,null
2.627904,null,null
2.884154,null,null
3.147541,null,null
3.41233,null,null
3.664706,null,null
3.999972,null,null
4.327238,null,null
4.689027,null,null
4.93926,null,null
5.215654,null,null
5.465684,null,null
5.716778,null,null
6.091856,null,null
6.460334,null,null
6.745552,null,null
7.065156,null,null
7.348661,null,null
7.656348,null,null
7.925266,null,null
8.186365,null,null
8.513816,null,null
8.785171,null,null
9.057618,null,null
9.41666,null,null
9.695755,0.1496925,
9.997737,0.1699871,
10.29222,0.1817761,
10.56037,0.1825991,
10.82756,0.06122227,
11.09842,0.004141428,
11.35224,,0.03175334
11.62852,,0.06463137
11.88117,,0.1317175
12.13542,,0.202945
12.43547,,0.2254472
12.68571,,0.1788714
12.96329,,0.1004225
13.23847,,0.06866559
13.52453,0.112606,
13.79784,0.0009581026,
14.05655,,0.07193561
14.3309,,0.1289794
14.58293,,0.03088135
14.83434,,0.0228005
15.08595,,0.1002526
15.34919,,0.1408234
15.62178,,0.1818126
15.89901,,0.2052061
16.15088,,0.1305728
16.40377,,0.01061234
16.68097,0.1120857,
16.93551,,0.007336352
17.21151,,0.1928538
17.46306,,0.2674213
17.72324,,0.2836971
17.99029,,0.2809772
18.27328,,0.1284111
18.54599,0.01085319,
18.82681,0.06801962,
19.10457,0.06992204,
19.35669,0.169018,
19.60821,0.2160837,
19.88877,0.1783748,
20.1615,0.114539,
20.41218,0.07386278,
20.66686,0.06134742,
20.94637,0.04286702,
21.19924,0.01272987,
21.45582,,0.0385857
21.72367,,0.1129537
21.97631,,0.190158
22.25144,,0.2540478
22.50612,,0.2186761
22.78268,,0.1504636
23.03641,,0.1002608
23.31115,,0.05651668
23.56298,,0.02161682
23.84146,,0.01810609
24.09204,,0.03613434
24.3461,,0.01905404
24.62189,,0.008016113
24.87467,,0.01833549
25.15137,,0.0170831
25.42966,,0.1196062
25.68026,,0.2355573
25.9305,,0.2693304
26.20728,,0.2326636
26.46099,,0.008561133
26.7114,0.09826446,
26.98945,,0.01488545
27.26821,,0.02680903
27.51964,,0.02042371
27.76976,,0.09085391
28.04671,,0.1225682
28.29688,,0.1661026
28.55029,,0.183888
28.82715,,0.1650755
29.08466,,0.1590047
29.35044,,0.1432461
29.60757,,0.1799457
29.87414,,0.2528134
30.13876,,0.2759421
30.40299,,0.3655461
30.66618,,0.4264103
30.93064,,0.4582213
31.19784,,0.3098492
31.47301,,0.2573748
31.72412,,0.2163623
31.98734,,0.105996
32.24198,,0.1280968
32.50337,,0.1347071
32.75634,,0.2359226
33.0232,,0.2338092
33.28247,,0.2425492
33.53504,,0.354675
33.79938,,0.3883941
34.04981,,0.3926677
34.30104,,0.3956897
34.65939,null,null
