time,AU1_InnerBrowRaiser,AU2_OuterBrowRaiser,AU4_BrowLowerer,AU5_UpperLidRaiser,AU7_LidTightener,AU43_EyesClosed,AU20_LipStretcher,AU51_HeadTurnLeft,AU52_HeadTurnRight,AU53_HeadUp,AU54_HeadDown,AU55_HeadTiltLeft,AU56_HeadTiltRight,AU61_EyesLookLeft,AU62_EyesLookRight,AU63_EyesLookUp,AU64_EyesLookDown,AU26_JawDrop
0,,,,,,,,,,,,,,,,,,
0.3117621,,,,,,,,,,,,,,,,,,
0.5688498,,,,,,,,,,,,,,,,,,
0.8300813,,,,,,,,,,,,,,,,,,
1.092262,,,,,,,,,,,,,,,,,,
1.344917,,,,,,,,,,,,,,,,,,
1.598843,,,,,,,,,,,,,,,,,,
1.861104,,,,,,,,,,,,,,,,,,
2.118008,,,,,,,,,,,,,,,,,,
2.37644,,,,,,,,,,,,,,,,,,
2.627904,,,,,,,,,,,,,,,,,,
2.884154,,,,,,,,,,,,,,,,,,
3.147541,,,,,,,,,,,,,,,,,,
3.41233,,,,,,,,,,,,,,,,,,
3.664706,,,,,,,,,,,,,,,,,,
3.999972,,,,,,,,,,,,,,,,,,
4.327238,,,,,,,,,,,,,,,,,,
4.689027,,,,,,,,,,,,,,,,,,
4.93926,,,,,,,,,,,,,,,,,,
5.215654,,,,,,,,,,,,,,,,,,
5.465684,,,,,,,,,,,,,,,,,,
5.716778,,,,,,,,,,,,,,,,,,
6.091856,,,,,,,,,,,,,,,,,,
6.460334,,,,,,,,,,,,,,,,,,
6.745552,,,,,,,,,,,,,,,,,,
7.065156,,,,,,,,,,,,,,,,,,
7.348661,,,,,,,,,,,,,,,,,,
7.656348,,,,,,,,,,,,,,,,,,
7.925266,,,,,,,,,,,,,,,,,,
8.186365,,,,,,,,,,,,,,,,,,
8.513816,,,,,,,,,,,,,,,,,,
8.785171,,,,,,,,,,,,,,,,,,
9.057618,,,,,,,,,,,,,,,,,,
9.41666,,,,,,,,,,,,,,,,,,
9.695755,0.1220532,0.01110828,0.334804,2.957254E-08,0.1018511,0.004001513,0.0009260059,0.06084013,,,0.2153866,,0.02467642,0,0.1321748,0,0.1153771,0.009759349
