time,Stimuli_Woman&KnockingSoundResume_trigger,Stimuli_KnockingSoundResume_trigger,Stimuli_Woman&KnockingSoundPause_trigger,Stimuli_DoorOpeningSound_trigger,Stimuli_DoorOpeningSound_distance,Stimuli_WomanSound_trigger,Stimuli_DoorKnockingSound_trigger,Stimuli_DoorFrontArea_trigger,Stimuli_DoorFrontArea_distance,Stimuli_EnvironmentSound_trigger,ClosetDoor_Handle_trigger,RedDoor_Lock_trigger,RedDoor_Handle_trigger,Door_3_Handle_trigger,Door_2_Handle_trigger,RightHandLight_trigger,LeftHandLight_trigger
0,,,,,6.810084,,,,11.93666,,,,,,,,
0.2737069,,,,,7.681302,,,,12.88747,,,,,,,,
0.5359626,,,,,7.71798,,,,12.91964,,,,,,,,
0.7984028,,,,,7.742162,,,,12.94286,,,,,,,,
1.05883,,,,,7.749378,,,,12.95049,,,,,,,,
1.327121,,,,,4.303769,,,,9.552706,,,,,,,,
1.598678,,,,,1.604953,,,,6.803182,,,,,,,,
1.870089,,,,,1.595434,,,,6.793178,,,,,,,,
2.364961,,,,,0.8784113,,,,5.514417,1,,,,,,,
2.640592,,,,,0.8695507,,,,5.507207,1,,,,,,,
2.948123,,,,,1.98235,,1,,3.978784,,,,,,,,
3.205887,,,,,1.972436,,1,,3.978122,,,,,,,,
3.478978,,,,,1.971506,,1,,3.979742,,,,,,,,
3.742985,,,,,4.048947,1,,,2.387884,,,,,,,,
4.007479,,,,,4.061508,1,,,2.400801,,,,,,,,
4.258683,,,,,4.067356,1,,,2.411686,,,,,,,,
4.524098,,,,,4.070917,1,,,2.428257,,,,,,,,
4.778617,,1,1,1,5.158612,,,,2.829891,,,,,,,,
5.03698,,1,1,1,5.164606,,,,2.843923,,,,,,,,
5.297188,,1,1,1,5.157291,,,,2.888194,,,,,,,,
5.56496,,1,1,1,5.143382,,,,2.899957,,,,,,,,
5.818963,,1,1,1,5.164066,,,,2.88357,,,,,,,,
6.082042,,1,1,1,5.217265,,,,2.880308,,,,,,,,
6.333646,,1,1,1,5.247401,,,,2.908828,,,,,,,,
6.595856,,1,1,1,5.251834,,,,2.909999,,,,,,,,
6.85214,,1,1,1,5.252873,,,,2.925697,,,,,,,,
7.110946,,1,1,1,5.248037,,,,2.969462,,,,,,,,
7.37581,,1,1,1,5.24734,,,,3.01632,,,,,,,,
7.627671,,1,1,1,5.245237,,,,3.047642,,,,,,,,
7.895538,,1,1,1,5.225287,,,,3.069501,,,,,,,,
8.164083,,1,1,1,5.202778,,,,3.08126,,,,,,,,
8.422235,,1,1,1,5.194602,,,,3.077028,,,,,,,,
8.686657,,1,1,1,5.217542,,,,3.067376,,,,,,,,
8.958534,,1,1,1,5.252149,,,,3.053472,,,,,,,,
9.224766,,1,1,1,5.27928,,,,3.049468,,,,,,,,
9.500474,,1,1,1,5.288407,,,,3.084689,,,,,,,,
9.763902,,1,1,1,5.287693,,,,3.112114,,,,,,,,
10.02107,,1,1,1,5.290728,,,,3.113678,,,,,,,,
10.27488,,1,1,1,5.291158,,,,3.08278,,,,,,,,
10.5475,,1,1,1,5.281702,,,,3.016824,,,,,,,,
10.80899,,1,1,1,5.264174,,,,2.956698,,,,,,,,
11.07527,,1,1,1,5.271597,,,,2.965747,,,,,,,,
11.32884,,1,1,1,5.28476,,,,3.023433,,,,,,,,
11.58346,,1,1,1,5.283227,,,,3.062416,,,,,,,,
11.84424,,1,1,1,5.27992,,,,3.069105,,,,,,,,
12.10889,,1,1,1,5.266502,,,,3.068883,,,,,,,,
12.36198,,1,1,1,5.245805,,,,3.069767,,,,,,,,
12.61815,,1,1,1,5.223319,,,,3.077171,,,,,,,,
12.87581,,1,1,1,5.217784,,,,3.078881,,,,,,,,
13.14021,,1,1,1,5.234414,,,,3.062543,,,,,,,,
13.4172,,1,1,1,5.242711,,,,3.044467,,,,,,,,
13.67177,,1,1,1,5.245369,,,,3.037132,,,,,,,,
13.94768,,1,1,1,5.250036,,,,3.037638,,,,,,,,
14.20838,,1,1,1,5.249737,,,,3.049664,,,,,,,,
14.45918,,1,1,1,5.25183,,,,3.065753,,,,,,,,
14.72532,,1,1,1,5.293241,,,,3.028695,,,,,,,,
14.99216,,1,1,1,5.315481,,,,2.917804,,,,,,,,
15.24902,,1,1,1,5.272848,,,,2.824845,,,,,,,,
15.49909,,1,1,1,5.21612,,,,2.764226,,,,,,,,
15.75571,,1,1,1,5.155917,,,,2.726452,,,,,,,,
