time,AU1_InnerBrowRaiser,AU2_OuterBrowRaiser,AU4_BrowLowerer,AU5_UpperLidRaiser,AU7_LidTightener,AU43_EyesClosed,AU20_LipStretcher,AU51_HeadTurnLeft,AU52_HeadTurnRight,AU53_HeadUp,AU54_HeadDown,AU55_HeadTiltLeft,AU56_HeadTiltRight,AU61_EyesLookLeft,AU62_EyesLookRight,AU63_EyesLookUp,AU64_EyesLookDown,AU26_JawDrop
0,,,,,,,,,,,,,,,,,,
0.2737069,4.321627E-14,1.560694E-13,0.009157147,0.03405669,0.1408643,0.001623364,9.697378E-07,,0.05857104,,0.165959,0.01153096,,0.05682767,0,0,0.001623635,0.008711911
0.5359626,0.09374684,0.008575924,0.07252443,0.3090646,0.1889357,0.0002508484,0.02499895,,0.07241558,,0.1835319,0.03123461,,0.02372039,0.01967081,0,0.0002508484,0.01081963
0.7984028,0.03807808,0.007168786,0.03034575,0.2514555,0.2225689,0.005755172,0.0004458913,,0.04890688,,0.1767579,0.03204652,,0.05195195,0,0,0.005793251,0.01086345
1.05883,0.001439378,0.00122228,0.001318939,0.1951962,0.1982588,5.163909E-05,9.19778E-06,,0.03541823,,0.1705131,0.03480421,,0.1487085,0,0,5.268508E-05,8.481105E-05
1.327121,0.0002555158,0.0003070004,0.0002592944,0.1210713,0.1665107,2.875025E-06,6.27273E-07,,0.05220171,,0.1827679,0.03393364,,0.03757343,0.005754737,0,2.951109E-06,0.008639191
1.598678,4.093964E-05,5.463413E-05,0.002048065,0.08083382,0.1391972,1.080129E-07,2.50825E-08,,0.03604191,,0.2355059,0.04328401,,0.1260122,0,0,1.111149E-07,0.00956098
1.870089,0.004693008,1.190291E-05,0.1013719,9.577516E-07,0.01165802,0.04605037,0.02500882,,0.01396258,,0.3213744,0.03785334,,0.02390826,0.0204656,0,0.1101385,0.009369471
2.364961,0.0006536285,6.864526E-07,0.009277347,0.2700185,0.1710241,1.589799E-05,1.770616E-05,,0.07709327,,0.2877243,0.03834754,,0.06062403,0,0,1.590028E-05,0.01065553
2.640592,0.002003282,1.499394E-07,0.02592828,0.2291253,0.1882088,5.439375E-08,8.277012E-07,,0.07398298,,0.247106,0.0392909,,0.0925636,0,0,5.440306E-08,0.01085488
2.948123,0.1414723,0.05087434,0.06454536,0.5911284,0.2719583,4.277765E-05,0.004218213,,0.08663549,,0.1845566,0.03963148,,0.03682451,0.006415504,0,0.0002461659,0.02083226
3.205887,0.05902161,0.02937534,0.008216984,0.3241625,0.201229,2.065913E-07,0.01078247,,0.1225476,,0.1489825,0.04686799,,0.1066785,0,0,1.044207E-05,0.0490738
3.478978,0.004423681,0.004532055,0.0007783035,1.326003E-06,0.03327052,0.03546891,0.0001491635,,0.1127723,,0.158299,0.04354296,,0.2798042,0,0,0.2743515,0.1418641
3.742985,0.0004940598,0.0007144974,0.0001429822,0.177992,0.103945,1.271187E-06,0.00820307,,0.07292994,,0.1997248,0.04142735,,0.1723377,0,0,1.319155E-06,0.1503534
4.007479,9.272652E-05,0.0001454016,3.010725E-05,0.2654436,0.1324802,2.045069E-07,0.00553539,,0.004493908,,0.2887035,0.03204879,,0.02538971,0.01770494,0.01581772,0,0.1813152
4.258683,2.373814E-05,0.002346029,7.894403E-06,0.3000067,0.1491188,3.30418E-09,0.005783899,0.04127887,,,0.3360378,0.009800487,,0.1526356,0,0,3.304207E-09,0.2154082
4.524098,5.139644E-06,0.01018578,1.720813E-06,0.3442636,0.1616579,1.740247E-05,0.005450475,0.09726351,,,0.3626444,0.009466973,,0.10518,0,0,1.740247E-05,0.2202212
4.778617,1.120498E-06,0.007376005,3.75709E-07,4.008618E-08,0.02591628,0.005777755,0.005433852,0.1306715,,,0.3680239,0.00425649,,0.129615,0,0,0.01031158,0.2135493
5.03698,0.0009560066,0.006894991,8.205963E-08,0.3083012,0.135642,2.167393E-06,0.005432884,0.1641402,,,0.4116597,0.003237916,,0.03912508,0.004256104,0,4.127512E-06,0.2247902
5.297188,0.007598238,0.01612025,1.792428E-08,0.398727,0.1658354,6.100627E-08,0.009656228,0.2969691,,,0.431655,,0.02405966,0.06042208,0,0,7.802694E-08,0.2559378
5.56496,0.00246208,0.01537304,4.735268E-09,0.1345311,3.963774E-05,0.0007898929,0.008772703,0.3093154,,,0.4604968,,0.04792502,0.2177816,0,0,0.01227777,0.2790737
5.818963,0.000393993,0.005385159,8.552284E-10,0.06827477,0.03312612,0.0001064632,0.006242429,0.2230518,,,0.5080132,,0.04999731,0.09919546,0,0,0.0003479074,0.2668187
6.082042,0.008699365,0.01020777,0.01063547,0.3577774,0.1000274,0.01293244,0.01076007,0.2164715,,,0.4972953,,0.0239963,0.1014464,0,0,0.01294994,0.3338923
6.333646,0.04922627,0.01483827,0.01515314,0.4567149,0.07427677,0.001114689,0.008719025,0.1974654,,,0.4119843,0.04541387,,0.1560177,0,0,0.01909449,0.3536823
6.595856,0.07979318,0.01390981,0.04695319,0.5046053,0.05378921,0.01533275,0.009102835,0.1511419,,,0.3131929,0.1026049,,0.1906405,0,0,0.01720467,0.3334158
6.85214,0.1587689,0.04281901,0.06599986,0.6085417,0.05935759,0.004730361,0.005729094,0.2059521,,,0.1980986,0.1562133,,0.2460099,0,0,0.02473079,0.3612901
7.110946,0.324372,0.1819282,0.06684414,0.7163164,0.1123628,0.01064253,0.01074968,0.273016,,,0.1056818,0.1538432,,0.1478634,0,0,0.01066967,0.392445
