time,PalmTurnRight,PalmTurnLeft,PalmUp,PalmDown,PalmTiltLeft,PalmTiltRight,Thumb_Curl,Thumb_Flexion,Thumb_Abduction,Index_Curl,Index_Flexion,Index_Abduction,Index_Opposition,Middle_Curl,Middle_Flexion,Middle_Abduction,Middle_Opposition,Ring_Curl,Ring_Flexion,Ring_Abduction,Ring_Opposition,Pinky_Curl,Pinky_Flexion,Pinky_Opposition
0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0.2640023,0.7437084,,,0.8556296,0.2716905,,,,,,,,,,,,,,,,,,,
0.5261488,0.7245026,,,0.859659,0.238498,,,,,,,,,,,,,,,,,,,
0.7890602,,0.04776937,,0.2786627,,0.2823731,,,,,,,,,,,,,,,,,,
1.05048,0.02709682,,,0.3588167,,0.44188,,,,,,,,,,,,,,,,,,
1.302142,0.1313848,,,0.02054167,,0.8265023,,,,,,,,,,,,,,,,,,
1.563165,0.09597926,,,0.1943078,,0.8428409,,,,,,,,,,,,,,,,,,
1.830324,,0.01702927,0.1943642,,,0.7539155,,,,,,,,,,,,,,,,,,
2.080835,0.02370759,,0.139051,,,0.6951454,,,,,,,,,,,,,,,,,,
2.347509,,0.1454792,0.03523555,,,0.07556768,,,,,,,,,,,,,,,,,,
2.604504,0.1536049,,,0.3168396,0.1228202,,,,,,,,,,,,,,,,,,,
2.875246,0.1716217,,,0.4042968,0.2233302,,,,,,,,,,,,,,,,,,,
3.135545,0.4871539,,,0.435008,0.2967029,,,,,,,,,,,,,,,,,,,
3.387999,0.6480628,,,0.4534718,0.4054933,,,,,,,,,,,,,,,,,,,
3.647075,0.5940577,,0.05193418,,0.7659344,,,,,,,,,,,,,,,,,,,
3.924063,0.6205066,,,0.05980619,0.7802966,,,,,,,,,,,,,,,,,,,
4.180848,0.7008915,,0.09665173,,0.8662059,,,,,,,,,,,,,,,,,,,
4.435813,0.7701767,,0.2860821,,0.9544714,,,,,,,,,,,,,,,,,,,
4.688773,0.786373,,0.3615564,,0.9981342,,,,,,,,,,,,,,,,,,,
4.943214,0.8338502,,0.554584,,1.058761,,,,,,,,,,,,,,,,,,,
5.301495,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
