time,ChestTurnRight,ChestTurnLeft
0
0.3045679,0.4645208,
0.5576104,0.4205391,
0.8390666,0.3643559,
1.109434,0.3859528,
1.365561,0.27131,
1.620777,0.1767353,
1.8798,0.1484969,
2.137519,0.1225561,
2.401401,0.1017511,
2.698756,,0.02556519
2.967097,,0.1504328
3.21839,,0.2309814
3.469742,,0.3079946
3.720298,,0.3289855
3.994986,,0.2205307
4.251413,,0.07728057
4.520576,,0.004775372
4.787979,0.02302196,
5.052199,0.04629495,
5.308981,0.08638424,
5.578019,0.1548891,
5.841351,0.174276,
6.099121,0.1059531,
6.350824,,0.01413967
6.616935,,0.08902437
6.874595,,0.1910063
7.128822,,0.2614231
7.391537,,0.3539099
7.645472,,0.3128569
7.909921,,0.2163804
8.17253,,0.3388867
8.424642,,0.3857711
8.690974,,0.4472733
8.945002,,0.47096
9.205922,,0.4166971
9.459658,,0.4132439
9.721501,,0.40289
9.97503,,0.4639248
10.23246,,0.506816
10.48521,,0.4951703
10.74985,,0.512436
11.00012,,0.503611
11.25069,,0.4582685
11.51319,,0.3325006
11.76614,,0.09566394
12.01814,0.1642915,
12.28229,0.2091483,
12.53293,0.1853928,
12.7841,0.1403991,
13.04791,0.09813158,
13.29805,0.06493505,
13.54891,,0.06600109
13.81292,,0.1698101
14.10438,,0.2719721
14.3664,,0.2944131
14.61672,,0.3050003
14.87092,,0.3407359
15.13624,,0.3461435
15.40609,,0.371358
15.66549,,0.3515752
15.92721,,0.3507784
16.19207,,0.3240345
16.44325,,0.2347984
16.70031,,0.2043655
16.96211,,0.2384667
17.22073,,0.212035
17.47082,,0.1923413
17.72436,,0.1488931
17.97662,,0.173166
18.23841,,0.2141195
18.50302,,0.2233809
18.7725,,0.2350082
19.03462,,0.29054
19.28495,,0.3844534
19.56019,,0.4774086
19.82814,,0.5912729
20.08919,,0.6659065
20.34847,,0.755517
20.60412,,0.7688992
20.85776,,0.7755659
21.12197,,0.7760142
21.38401,,0.7557956
21.63696,,0.6884869
21.88941,,0.439358
22.15012,,0.4014794
22.40143,,0.3967575
22.65279,,0.4162666
22.90695,,0.4079119
23.1705,,0.2964495
23.44667,,0.1510567
23.7083,,0.09279765
23.96008,,0.09871977
24.2264,,0.04453386
24.47835,,0.03788015
24.74188,0.01111926,
25.00483,0.06945626,
25.25535,0.0707148,
25.5066,0.01656615,
25.76956,0.00470915,
26.02237,0.01166841,
26.27324,0.007112312,
26.52511,0.001203915,
26.77808,,0.0018521
27.03779,0.007440977,
27.29013,0.009081459,
27.55164,0.01089096,
27.80597,0.03166874,
28.0647,0.01614217,
28.3187,,0.02383566
28.58452,,0.04791492
28.83587,,0.05122621
29.17152,,0.04236042
29.43,,0.02238987
29.68054,,0.009891271
29.93198,,0.001730737
30.18443,,0.002534903
30.43673,0.003170058,
30.69712,,0.00250615
30.94885,,0.03020407
31.1993,,0.06128823
31.45365,,0.09263162
31.71746,,0.1065867
31.9862,,0.1203356
32.24742,,0.129302
32.51194,,0.1310689
32.76634,,0.1324031
33.02395,,0.1180141
33.28729,,0.06684129
33.53929,,0.02017735
33.78929,,0.01814475
34.0435,,0.05642287
34.30737,,0.1516208
34.5689,,0.2253941
34.82253,,0.2751651
35.07275,,0.321652
35.33653,,0.3467716
35.59893,,0.3872294
35.85134,,0.4613917
36.11253,,0.5946212
36.37641,,0.65722
36.62734,,0.6807545
36.87867,,0.6335667
37.1292,,0.5585812
37.38155,,0.4766649
37.64698,,0.3970121
37.91195,,0.3559287
38.16375,,0.1826445
38.42043,,0.2875234
38.67766,,0.3223235
38.95237,,0.3709168
39.21132,,0.5551502
39.48026,,0.5833009
39.73994,,0.5430464
39.99799,,0.4959536
40.26191,,0.4284935
40.51339,,0.4137586
40.77759,,0.3510431
41.03231,,0.331148
41.29206,,0.4341078
41.54413,,0.4377352
41.79653,,0.4403875
42.05003,,0.460145
42.31503,,0.5478337
42.573,,0.6401833
42.82626,,0.7008666
43.08315,,0.7378983
43.3431,,0.813765
43.59453,,0.8775669
43.85566,,0.9265053
44.109,,0.9382645
44.37025,,0.8905589
44.63518,,0.7180234
44.88825,,0.6063972
45.14887,,0.589317
45.4051,,0.6463833
45.66507,,0.7210009
45.91568,,0.8781961
46.17851,,1.076131
46.45205,,1.287479
46.70497,,1.562043
46.96426,,1.950711
47.22268,1.786609,
47.47637,1.745669,
47.73955,1.767215,
47.99092,1.768675,
48.24186,1.770365,
48.50697,1.773698,
48.75793,1.772468,
49.02249,1.768687,
49.28334,1.779021,
49.53749,1.785993,
49.78906,1.785151,
50.04975,1.784623,
50.30295,1.788156,
50.56514,1.794097,
50.82064,1.802637,
51.0808,1.835014,
51.33245,1.833267,
51.59753,1.840974,
51.86876,1.847359,
52.12498,1.844945,
52.37555,1.843756,
52.64129,1.851405,
52.90513,1.85375,
53.16751,1.863425,
53.42053,1.877433,
53.67073,1.87691,
53.92165,1.857481,
54.17414,1.847156,
54.43774,1.848667,
54.70102,1.857556,
54.95871,1.850566,
55.2326,1.826348,
55.49713,1.816907,
55.76225,1.808655,
56.02186,1.780514,
56.27658,1.769059,
56.54283,1.806578,
56.80692,1.868626,
57.07131,,1.983166
57.33146,,1.921105
57.58403,,1.851381
57.85053,,1.810315
58.11453,1.964367,
58.37046,1.8099,
58.6253,1.862304,
58.87926,1.998122,
59.14146,1.844525,
59.39381,1.804247,
59.66555,1.922955,
59.91896,1.886983,
60.1717,1.749324,
60.43598,1.647451,
60.69936,1.721146,
60.95405,1.777482,
61.2277,1.863128,
61.48064,1.93156,
61.73129,,1.993698
61.98381,1.9776,
62.2471,1.884713,
62.51275,1.726473,
62.779,1.644799,
63.03976,1.75191,
63.30291,1.882223,
63.56821,1.846901,
63.83495,1.713281,
64.0913,1.73971,
64.34272,1.966165,
64.60969,1.818426,
64.86175,1.686863,
65.1254,1.829028,
65.38825,,1.996907
65.64502,1.909833,
65.91581,1.719992,
66.17876,1.679183,
66.43196,1.715763,
