time,Stimuli_Woman&KnockingSoundResume_trigger,Stimuli_KnockingSoundResume_trigger,Stimuli_Woman&KnockingSoundPause_trigger,Stimuli_DoorOpeningSound_trigger,Stimuli_DoorOpeningSound_distance,Stimuli_WomanSound_trigger,Stimuli_DoorKnockingSound_trigger,Stimuli_DoorFrontArea_trigger,Stimuli_DoorFrontArea_distance,Stimuli_EnvironmentSound_trigger,ClosetDoor_Handle_trigger,RedDoor_Lock_trigger,RedDoor_Handle_trigger,Door_3_Handle_trigger,Door_2_Handle_trigger,RightHandLight_trigger,LeftHandLight_trigger
0,,,,,6.810084,,,,11.93666,,,,,,,,
0.2932203,,,,,7.887788,,,,13.11143,,,,,,,,
0.5702994,,,,,7.887372,,,,13.1109,,,,,,,,
0.8477969,,,,,7.896105,,,,13.11917,,,,,,,,
1.140084,,,,,7.899036,,,,13.12208,,,,,,,,
1.429424,,,,,7.890261,,,,13.1137,,,,,,,,
1.686272,,,,,7.879128,,,,13.10332,,,,,,,,
1.966122,,,,,7.873237,,,,13.09823,,,,,,,,
2.230478,,,,,7.870397,,,,13.09569,,,,,,,,
2.482589,,,,,7.872414,,,,13.09702,,,,,,,,
2.737038,,,,,6.409721,,,,11.61921,,,,,,,,
3.017278,,,,,6.412846,,,,11.62121,,,,,,,,
3.271751,,,,,6.410889,,,,11.61908,,,,,,,,
3.536356,,,,,5.61646,,,,10.81168,,,,,,,,
3.809738,,,,,5.609161,,,,10.80685,,,,,,,,
4.077449,,,,,5.60593,,,,10.80585,,,,,,,,
4.339507,,,,,4.538374,,,,9.763938,,,,,,,,
4.610204,,,,,4.53885,,,,9.766714,,,,,,,,
4.863918,,,,,3.391913,,,,8.642864,,,,,,,,
5.137385,,,,,3.3939,,,,8.646287,,,,,,,,
5.403124,,,,,2.786966,,,,8.048186,,,,,,,,
5.666617,,,,,2.787613,,,,8.047651,,,,,,,,
5.928321,,,,,2.794282,,,,8.051773,,,,,,,,
6.206421,,,,,2.807394,,,,8.063534,,,,,,,,
6.47491,,,,,2.803489,,,,8.061005,,,,,,,,1
6.742585,,,,,2.785464,,,,8.046913,,,,,,,,1
7.008587,,,,,2.788138,,,,8.051123,,,,,,,,1
7.274975,,,,,2.790549,,,,8.053709,,,,,,,,1
7.535353,,,,,2.79401,,,,8.057161,,,,,,,,1
7.786842,,,,,2.797498,,,,8.060616,,,,,,,,1
8.05636,,,,,2.799133,,,,8.062268,,,,,,,,1
8.308363,,,,,1.748335,,,,6.994313,,,,,,,,1
8.559281,,,,,1.773443,,,,7.014761,,,,,,,,1
8.820905,,,,,1.752717,,,,6.99088,,,,,,,,1
9.093879,,,,,1.645736,,,,6.881707,,,,,,,,1
9.34888,,,,,1.524275,,,,6.756685,,,,,,,,1
9.601352,,,,,1.465899,,,,6.695131,,,,1,,1,,1
9.863361,,,,,1.421937,,,,6.647763,,,,1,,1,,1
10.13219,,,,,1.392525,,,,6.615348,,,,1,,1,,1
10.40876,,,,,1.398025,,,,6.622986,,,,,,,,1
10.68755,,,,,1.427643,,,,6.656509,,,,,,,,1
10.96388,,,,,1.443586,,,,6.679197,,,,,,,,1
11.24228,,,,,1.452943,,,,6.692175,,,,,,,,1
11.51318,,,,,1.463192,,,,6.703672,,,,,,,,1
11.91843,,,,,1.039128,,,,6.177643,1,,,,,,,1
12.17741,,,,,1.038958,,,,6.177988,1,,,,,,,1
12.45024,,,,,1.052511,,,,6.193309,1,,,,,,,1
12.71995,,,,,1.064343,,,,6.200762,1,,,,,,,1
13.00151,,,,,1.070761,,,,6.199636,1,,,,,,,1
13.26109,,,,,1.072576,,,,6.195763,1,,,,,,,1
13.51396,,,,,1.079899,,,,6.203318,1,,,,,,,1
13.79006,,,,,1.091193,,,,6.222426,1,,,,,,,1
14.05464,,,,,1.102206,,,,6.234045,1,,,1,,1,,1
14.33531,,,,,1.092708,,,,6.222975,1,,,1,,1,,1
14.60476,,,,,1.064381,,,,6.191617,1,,,1,,1,,1
14.87689,,,,,1.030515,,,,6.159853,1,,,1,,1,,1
15.14614,,,,,1.022058,,,,6.159708,1,,,,,,,1
15.42377,,,,,1.053016,,,,6.189534,1,,,,,,,1
15.69151,,,,,1.112954,,,,6.236347,1,,,,,,,1
15.95385,,,,,1.163939,,,,6.274865,1,,,,,,,1
16.2273,,,,,1.206614,,,,6.311835,1,,,,,,,1
16.50354,,,,,0.8451421,,,,5.154534,1,,,,,,,1
16.7697,,,,,0.8371793,,,,5.169889,1,,,,,,,1
17.05185,,,,,0.8380819,,,,5.181667,1,,,,,,,1
17.32574,,,,,0.8421316,,,,5.192763,1,,,,,,,1
17.59903,,,,,0.8225964,,,,5.165224,1,,,,,,,1
17.86268,,,,,0.7993384,,,,5.123357,1,,,,,,,1
18.14068,,,,,0.7976478,,,,5.0968,1,,,,,,,1
18.41534,,,,,1.119496,,,,4.586388,,,,,,,,1
18.67062,,,,,1.116092,,,,4.582818,,,,,,,,1
18.92609,,,,,1.112017,,,,4.582195,,,,,,,,1
19.191,,,,,1.105193,,,,4.582774,,,,,,,,1
19.46665,,,,,1.10635,,,,4.572554,,,,,1,,,1
19.7353,,,,,1.12766,,,,4.538846,,,,,1,,,1
20.00928,,,,,1.160037,,,,4.504659,,,,,1,,,1
20.28011,,,,,1.158125,,,,4.505571,,,,,,,,
20.53365,,,,,1.145463,,,,4.518711,,,,,,,,
20.80424,,,,,1.14885,,,,4.514413,,,,,,,,1
21.0708,,,,,1.157102,,,,4.510326,,,,,,,,1
21.45676,,,,,2.486762,,1,,3.386399,,,,,,,,1
21.72777,,,,,2.490612,,1,,3.390427,,,,,,,,1
21.99434,,,,,2.471613,,1,,3.395364,,,,,,,,1
22.27079,,,,,3.673317,1,,,1.978652,,,,,,,,1
22.54289,,,,,3.67051,1,,,1.980606,,,,,,,,1
22.80848,,,,,3.665303,1,,,1.980415,,,,,,,,1
23.0765,,,,,3.660561,1,,,1.976905,,,,,,,,1
23.34988,,,,,3.65843,1,,,1.973906,,,,,,,,1
23.61038,,,,,4.891957,,,,1.333923,,,,,,,,1
23.86501,,,,,4.881521,,,,1.356731,,,,,,,,1
24.14382,,,,,4.855728,,,,1.397376,,,,,,,,1
24.40563,,,,,4.838794,,,,1.43331,,,,,,,,1
24.68084,,,,,4.829911,,,,1.4655,,,,,,,,1
24.9345,,,,,5.063258,,,,2.335866,,,,,,,,1
25.19581,,,,,5.048924,,,,2.377011,,,,,,,,1
25.45407,,,,,5.018765,,,,2.398345,,,,,,,,1
25.72328,,1,1,1,5.080945,,,,2.911798,,,,,,,,
25.97838,,1,1,1,5.054333,,,,2.917453,,,,,,,,
26.25294,,1,1,1,5.04508,,,,2.923566,,,,,,,,
26.53133,,1,1,1,5.048417,,,,2.930421,,,,,,,,
26.78407,,1,1,1,5.055657,,,,2.937186,,,,,,,,
27.05497,,1,1,1,5.066559,,,,2.935952,,,,,,,,
27.32286,,1,1,1,5.065767,,,,2.945177,,,,,,,,1
27.60022,,1,1,1,5.0551,,,,2.955536,,,,,,,,1
27.87809,,1,1,1,5.044471,,,,2.9816,,,,,,,,1
28.14729,,1,1,1,5.046239,,,,3.019046,,,,,,,,1
28.39955,,1,1,1,5.032863,,,,3.037825,,,,,,,,1
28.6674,,1,1,1,5.010872,,,,3.072874,,,,,,,,1
28.93657,,1,1,1,4.981559,,,,3.136815,,,,,,,,1
29.18849,,1,1,1,4.965893,,,,3.161729,,,,,,,,1
29.4578,,1,1,1,4.969997,,,,3.160419,,,,,,,,1
29.71882,,1,1,1,4.983519,,,,3.15346,,,,,,,,1
29.99482,,1,1,1,4.955966,,,,3.15574,,,,,,,,1
30.24815,,1,1,1,4.915037,,,,3.154167,,,,,,,,1
30.51206,,1,1,1,4.909222,,,,3.15074,,,,,,,,1
30.77403,,1,1,1,4.922529,,,,3.145795,,,,,,,,1
31.02565,,1,1,1,4.954436,,,,3.139162,,,,,,,,1
31.30276,,1,1,1,4.998077,,,,3.133589,,,,,,,,1
31.56451,,1,1,1,5.02181,,,,3.132296,,,,,,,,1
31.8365,,1,1,1,5.026195,,,,3.132205,,,,,,,,1
32.10558,,1,1,1,4.991728,,,,3.140025,,,,,,,,1
32.3786,,1,1,1,4.95154,,,,3.169208,,,,,,,,1
32.63517,,1,1,1,4.923074,,,,3.198799,,,,,,,,1
32.88889,,1,1,1,4.923974,,,,3.210349,,,,,,,,1
33.1606,,1,1,1,4.94146,,,,3.202405,,,,,,,,1
33.43648,,1,1,1,4.991869,,,,3.168152,,,,,,,,1
33.69063,,1,1,1,5.102942,,,,3.059773,,,,,,,,1
33.9437,,1,1,1,5.150234,,,,2.914648,,,,,,,,1
34.21379,,1,1,1,5.130681,,,,2.810017,,,,,,,,1
34.49416,,1,1,1,5.074256,,,,2.737795,,,,,,,,1
34.76818,,1,1,1,5.033364,,,,2.660108,,,,,,,,1
35.03949,,1,1,1,5.019377,,,,2.553188,,,,,,,,1
35.30435,,,,,5.023316,,,,2.4268,,,,,,,,1
35.57861,,,,,5.027767,,,,2.332775,,,,,,,,1
35.84606,,,,,5.036674,,,,2.288273,,,,,,,,1
36.12787,,,,,5.036195,,,,2.271386,,,,,,,,1
36.40124,,,,,5.022549,,,,2.269176,,,,,,,,1
36.65638,,,,,5.00703,,,,2.284523,,,,,,,,1
36.91539,,,,,4.986196,,,,2.295829,,,,,,,,1
37.18941,,,,,4.972726,,,,2.294417,,,,,,,,1
37.46124,,,,,4.962508,,,,2.281785,,,,,,,,1
37.73455,,,,,4.940651,,,,2.257316,,,,,,,,1
38.00217,,,,,4.893327,,,,1.861394,,,,,,,,1
38.2781,,,,,4.917272,,,,1.902614,,,,,,,,1
38.53147,,,,,4.910763,,,,1.975262,,,,,,,,1
38.80977,,,,,4.878192,,,,2.029577,,,,,,,,1
39.08794,,,,,4.87334,,,,2.053842,,,,,,,,1
39.3518,,,,,4.884953,,,,2.058673,,,,,,,,1
39.61506,,,,,4.903858,,,,2.048999,,,,,,,,1
39.86677,,,,,4.934672,,,,2.03709,,,,,,,,1
40.13273,,,,,4.980835,,,,2.024554,,,,,,,,1
40.40744,,,,,5.011071,,,,2.015291,,,,,,,,1
40.68702,,,,,4.994859,,,,2.009401,,,,,,,,1
40.93787,,,,,4.976464,,,,2.013432,,,,,,,,1
41.21824,,,,,4.961851,,,,2.025871,,,,,,,,1
41.48151,,,,,4.953507,,,,2.039189,,,,,,,,1
41.73547,,,,,4.948705,,,,2.057219,,,,,,,,1
42.01169,,,,,5.554704,,,,1.761352,,,,,,,,1
42.29111,,,,,5.550101,,,,1.786932,,,,,,,,1
42.54505,,,,,5.553986,,,,1.822698,,,,,,,,1
42.80367,,,,,5.540356,,,,1.857967,,,,,,,,1
43.05569,,,,,5.528308,,,,1.889817,,,,,,,,1
43.33279,,,,,5.519735,,,,1.93324,,,,,,,,1
43.60752,,,,,5.496967,,,,1.955585,,,,,,,,1
43.87498,,,,,5.483055,,,,1.955316,,,,,,,,1
44.15688,,,,,5.486434,,,,1.961234,,,,,,,,1
44.42987,,,,,5.515717,,,,1.971101,,,,,,,,1
44.70412,,,,,5.557889,,,,1.950368,,,,,,,,1
44.97676,,,,,5.655234,,,,1.887515,,,,,,,,1
45.2539,,,,,5.735132,,,,1.841756,,,,,,,,1
45.50579,,,,,5.790125,,,,1.81938,,,,,,,,1
45.7597,,,,,5.851866,,,,1.817527,,,,,,,,1
46.01992,,,,,5.914463,,,,1.82895,,,,,,,,1
46.27132,,,,,5.977445,,,,1.845456,,,,,,,,1
46.5221,,,,,6.02784,,,,1.867901,,,,,,,,1
46.81181,,,,,6.057687,,,,1.882828,,,1,,,,,1
47.07303,,,,,6.05343,,,,1.871881,,,1,,,,,1
47.32956,,,,,6.04429,,,,1.858862,,,1,,,,,1
47.59924,,,,,6.047166,,,,1.860277,,,1,,,,,1
47.87828,,,,,6.059015,,,,1.860993,,,1,,,,,1
48.1429,,,,,6.072684,,,,1.860714,,,1,,,,,1
48.41294,,,,,6.070039,,,,1.852201,,,1,,,,,1
48.66407,,,,,6.045928,,,,1.842154,,,1,,,,,1
48.91461,,,,,5.998764,,,,1.822963,,,1,,,,,1
49.1663,,,,,5.937863,,,,1.798413,,,1,,,,,1
49.43136,,,,,5.893495,,,,1.781999,,,1,,,,,1
49.71473,,,,,5.882685,,,,1.795447,,,1,,,,,1
49.98915,,,,,6.44692,,,,1.999519,,,1,,,,,1
50.26321,,,,,6.419325,,,,1.991062,,,1,,,,,1
50.5147,,,,,6.387139,,,,1.992604,,,1,,,,,1
50.76918,,,,,6.377226,,,,1.993137,,,1,,,,,1
51.04554,,,,,6.384628,,,,1.98258,,,1,,,,,1
51.29678,,,,,6.400953,,,,1.987386,,,1,,,,,1
51.54881,,,,,6.423473,,,,1.998053,,,1,,,,,1
51.81393,,,,,6.438991,,,,2.008779,,,1,,,,,1
52.08616,,,,,6.431362,,,,2.013386,,,1,,,,,1
52.35479,,,,,6.413997,,,,2.012828,,,1,,,,,1
52.63989,,,,,6.38403,,,,2.011104,,,1,,,,,1
52.91344,,,,,6.344398,,,,2.020996,,,1,,,,,1
53.17051,,,,,6.337455,,,,2.052188,,,1,,,,,1
53.44035,,,,,6.32883,,,,2.041354,,,1,,,,,1
53.69263,,,,,6.315293,,,,2.013552,,,1,,,,,1
53.95625,,,,,6.296013,,,,1.985189,,,1,,,,,1
54.23488,,,,,6.278158,,,,1.963193,,,1,,,,,1
54.51061,,,,,6.264286,,,,1.946388,,,1,,,,,1
54.76347,,,,,6.25533,,,,1.938775,,,1,,,,,1
55.04181,,,,,6.274992,,,,1.970537,,,1,,,,,1
55.3059,,,,,6.342241,,,,2.104695,,,1,,,,,1
55.58026,,,,,6.35054,,,,2.203532,,,1,,,,,
55.88524,,,,,6.35054,,,,2.203532,,,1,,,,,
56.14151,,,,,6.35054,,,,2.203532,,,1,,,,,
56.40999,,,,,6.35054,,,,2.203532,,,1,,,,,
56.67333,,,,,6.35054,,,,2.203532,,,1,,,,,
56.95061,,,,,6.35054,,,,2.203532,,,1,,,,,
57.26701,,,,,6.35054,,,,2.203532,,,1,,,,,
57.54757,,,,,7.391575,,,,2.889195,,,1,,,,,
57.82708,,,,,7.391575,,,,2.889195,,,1,,,,,
58.08896,,,,,7.391575,,,,2.889195,,,1,,,,,
58.33982,,,,,7.391575,,,,2.889195,,,1,,,,,
58.6729,,,,,7.391575,,,,2.889195,,,1,,,,,
58.92382,,,,,7.391575,,,,2.889195,,,1,,,,,
59.18007,,,,,7.391575,,,,2.889195,,,1,,,,,
59.43171,,,,,7.391575,,,,2.889195,,,1,,,,,
