time,AU1_InnerBrowRaiser,AU2_OuterBrowRaiser,AU4_BrowLowerer,AU5_UpperLidRaiser,AU7_LidTightener,AU43_EyesClosed,AU20_LipStretcher,AU51_HeadTurnLeft,AU52_HeadTurnRight,AU53_HeadUp,AU54_HeadDown,AU55_HeadTiltLeft,AU56_HeadTiltRight,AU61_EyesLookLeft,AU62_EyesLookRight,AU63_EyesLookUp,AU64_EyesLookDown,AU26_JawDrop
0,,,,,,,,,,,,,,,,,,
0.2932203,0.1141709,0,0.3120083,0.002949127,0.1123247,0.005215079,7.363499E-07,,,,,,,0.04796306,0,0,0.03953144,0.01086564
0.5702994,0.07705364,0,0.3566301,0.0003810006,0.1035084,0.2206188,4.449358E-08,,,,,,,0,0.05096646,0,0.3766345,0.0006712127
0.8477969,0.1386623,0.0005610451,0.3921156,1.585358E-05,0.06468748,0.008053202,0.01859968,,,,,,,0.02764224,0.01732313,0,0.1131848,0.01032291
1.140084,0.1623182,9.852852E-05,0.389001,6.222028E-07,0.117607,0.00137211,0.02219157,,,,,,,0.05088134,0,0,0.03976661,0.01085402
1.429424,0.1711413,1.770499E-05,0.3831408,0.01185316,0.1097004,1.242943E-05,0.0159804,,,,,,,0.03323757,0.01002421,0,0.03802183,0.01086521
1.686272,0.1294607,4.673513E-06,0.3825518,0.0001735094,0.1103506,0.01596578,0.0009321916,,,,,,,0.2180212,0,0,0.05789287,0.01086561
1.966122,0.1305459,0.001019379,0.3222022,0.009833071,0.123603,0.006843516,6.927449E-06,,,,,,,0.1502067,0,0,0.03400164,0.01086564
2.230478,0.1195051,0.0007762739,0.3233017,0.004419569,0.1098016,0.02160539,3.029395E-07,,,,,,,0.1779914,0,0,0.08673325,0.01086564
2.482589,0.215013,0.005560866,0.3770827,0.02174451,0.155745,0.03356124,2.441463E-08,,,,,,,0,0.1522245,0.0804157,0,0.01035975
2.737038,0.236185,0.01809749,0.3501207,0.1164859,0.1437225,0.01725868,1.457498E-09,,,,,,,0.06572562,0,0,0.03119324,0.01083871
3.017278,0.186983,0.009339871,0.3399353,0.04080989,0.110091,0.003447608,6.224645E-11,,,,,,,0.1356151,0,0,0.03051021,0.01086452
