time,AU1_InnerBrowRaiser,AU2_OuterBrowRaiser,AU4_BrowLowerer,AU5_UpperLidRaiser,AU7_LidTightener,AU43_EyesClosed,AU20_LipStretcher,AU51_HeadTurnLeft,AU52_HeadTurnRight,AU53_HeadUp,AU54_HeadDown,AU55_HeadTiltLeft,AU56_HeadTiltRight,AU61_EyesLookLeft,AU62_EyesLookRight,AU63_EyesLookUp,AU64_EyesLookDown,AU26_JawDrop
0,,,,,,,,,,,,,,,,,,
0.2807862,0.07093808,0.0003540595,0.1836355,0,0.2036092,0.01760651,0,0.07084306,,,0.0999004,0.02443336,,0.09345443,0,0,0.04810404,0
0.550384,0.07606156,7.566813E-05,0.1661981,0,0.2169966,0.01208707,0,0.07085706,,,0.09702436,0.02422779,,0.08029472,0,0,0.04741837,0
0.8308003,0.07177858,1.645011E-05,0.1962622,0,0.2474579,0.04472324,0,0.07606113,,,0.09222719,0.02454288,,0.4444895,0,0,0.2891409,0
1.100114,0.09695793,3.589344E-06,0.2383111,0,0.2200876,0.01972145,0.0006468609,0.08540963,,,0.04931163,0.004170491,,0.3637918,0,0,0.04715252,0.00226982
1.431504,0.1193355,5.358872E-07,0.2789097,0,0.2489364,0.01750341,0.003200026,0.1036598,,,0.1494506,0.02845147,,0.2732869,0,0,0.04485004,0.01087138
1.758974,0.1286145,0.00797003,0.2868852,0,0.2295884,0.01079866,0.001142612,,0.04587946,,0.2833675,,0.006634319,0.03174256,0.0129433,0,0.04766113,0.002356501
2.010792,0.1377008,0.00482179,0.3307121,0,0.2112184,0.01194182,6.042289E-05,,0.1509055,,0.3453158,0.0130707,,0.07433757,0,0,0.04711295,0.0003502039
2.268797,0.1513655,0.0007878442,0.3219151,0,0.2317731,0.01412843,0.003198663,,0.1304227,,0.336184,0.02259184,,0.1533897,0,0,0.0426438,0.006494854
2.532918,0.1584967,0.002033597,0.326483,0,0.2235748,0.01112316,0.006622322,,0.1112743,,0.3049848,,0.006035629,0.1354043,0,0,0.0387284,0.003743313
2.805703,0.1411801,0.002407332,0.3018348,0,0.2084032,0.005493156,0.0001894485,,0.1187861,,0.3036254,,0.01469927,0.1402403,0,0,0.03267676,0.005986083
3.084894,0.139998,0.001263487,0.3413544,0,0.2141426,0.002854101,5.772739E-06,,0.05085048,,0.3215578,,0.03790694,0.2947381,0,0,0.05779854,0.00365045
3.342541,0.1459998,0.0005764309,0.3771479,0,0.2195072,0.01945071,0.0008090664,,0.1068132,,0.2771478,,0.03542573,0.2121143,0,0,0.05897157,0.002970672
3.601102,0.1690159,0.002037158,0.350362,0,0.2275382,0.01871075,3.837665E-05,,0.1091901,,0.2797524,,0.01226004,0.06336481,0,0,0.04584869,0.01021942
3.858561,0.1509116,0.002226608,0.3274226,0,0.2483667,0.01357388,3.146641E-06,,0.04372137,,0.3147278,,0.0110079,0.2443451,0,0,0.04117909,0.0003140124
4.115319,0.1695541,0.004864558,0.3453879,0,0.2538273,0.0135123,1.887431E-07,,0.04582673,,0.3268872,,0.01851121,0.1630336,0,0,0.04081023,0.007327782
4.369487,0.2559617,0.01527219,0.363552,0.002949414,0.2295079,0.001532643,0.001101105,,0.03321597,,0.2631147,,0.02238771,0.05890873,0,0,0.03006317,0.0107998
4.644792,0.3019705,0.02626897,0.3782877,0.0001832834,0.2451649,0.005022908,5.513397E-05,,0.1554297,,0.1868257,0.04260057,,0.1148519,0,0,0.0367843,0.0108626
