time,PalmTurnRight,PalmTurnLeft,PalmUp,PalmDown,PalmTiltLeft,PalmTiltRight,Thumb_Curl,Thumb_Flexion,Thumb_Abduction,Index_Curl,Index_Flexion,Index_Abduction,Index_Opposition,Middle_Curl,Middle_Flexion,Middle_Abduction,Middle_Opposition,Ring_Curl,Ring_Flexion,Ring_Abduction,Ring_Opposition,Pinky_Curl,Pinky_Flexion,Pinky_Opposition
0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0.2640548,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0.5377632,0.4350021,,,0.8025021,0.1196789,,,,,,,,,,,,,,,,,,,
0.7985186,0.5387868,,,0.8456261,0.1222034,,,,,,,,,,,,,,,,,,,
1.072354,0.5271238,,,0.8475593,0.117346,,,,,,,,,,,,,,,,,,,
1.34704,0.4435641,,,0.7598311,0.1191837,,,,,,,,,,,,,,,,,,,
1.606536,0.4397626,,,0.7561523,0.1139551,,,,,,,,,,,,,,,,,,,
1.895021,0.4665427,,,0.7676691,0.1219724,,,,,,,,,,,,,,,,,,,
2.158376,0.4891973,,,0.7787,0.1288618,,,,,,,,,,,,,,,,,,,
2.413517,0.5039097,,,0.7839884,0.1342068,,,,,,,,,,,,,,,,,,,
2.677399,0.5237377,,,0.7906438,0.1368989,,,,,,,,,,,,,,,,,,,
2.941043,0.5298663,,,0.7928312,0.135104,,,,,,,,,,,,,,,,,,,
3.216385,1.215635,,1.04563,,,0.1303318,0.15833,0.4467142,0.05761538,0.08296738,0.3983177,0.3332844,0.248166,0.2715828,0.5863544,0.114528,0.2655997,0.2567474,0.5362568,0.1936065,0.3254551,0.15833,0.4190001,0.4159409
3.474058,,0.0538388,0.4993673,,,0.3199359,0.04374962,-0.09466934,0.2622755,0.1739471,0.5619732,0.1636987,0.2411194,0.1693916,0.6666613,0.1220818,0.3202183,0.2014225,0.6503998,0.1410472,0.3725109,0.04374962,0.6400915,0.4334243
3.726875,,0.156579,0.5024065,,,0.4327874,0.07827435,-0.1200926,0.2121262,0.06827851,0.274807,0.1981607,0.3270437,0.09228821,0.3408812,0.1563435,0.435913,0.1457558,0.2294929,0.2371902,0.4968375,0.07827435,0.09482498,0.5693473
3.978285,,0.3394809,0.3471386,,,0.2964959,0.1057577,0.03389301,0.2133247,0.05115128,0.239353,0.1869937,0.3484619,0.05717659,0.296043,0.1440769,0.4456945,0.1347504,0.1894398,0.2359783,0.4877911,0.1057577,0.04130287,0.5530101
