time,Stimuli_Woman&KnockingSoundResume_trigger,Stimuli_KnockingSoundResume_trigger,Stimuli_Woman&KnockingSoundPause_trigger,Stimuli_DoorOpeningSound_trigger,Stimuli_DoorOpeningSound_distance,Stimuli_WomanSound_trigger,Stimuli_DoorKnockingSound_trigger,Stimuli_DoorFrontArea_trigger,Stimuli_DoorFrontArea_distance,Stimuli_EnvironmentSound_trigger,ClosetDoor_Handle_trigger,RedDoor_Lock_trigger,RedDoor_Handle_trigger,Door_3_Handle_trigger,Door_2_Handle_trigger,RightHandLight_trigger,LeftHandLight_trigger
0,,,,,6.810084,,,,11.93666,,,,,,,,
0.2640548,,,,,6.810084,,,,11.93666,,,,,,,,
0.5377632,,,,,7.349131,,,,12.51673,,,,,,,,
0.7985186,,,,,7.353719,,,,12.5218,,,,,,,,
1.072354,,,,,7.360946,,,,12.52982,,,,,,,,
1.34704,,,,,7.359465,,,,12.52773,,,,,,,,
1.606536,,,,,7.363126,,,,12.53237,,,,,,,,
1.895021,,,,,7.370947,,,,12.54034,,,,,,,,
2.158376,,,,,7.379247,,,,12.54839,,,,,,,,
2.413517,,,,,7.388854,,,,12.55803,,,,,,,,
2.677399,,,,,7.408441,,,,12.57805,,,,,,,,
2.941043,,,,,7.410626,,,,12.58019,,,,,,,,
3.216385,,,,,7.39967,,,,12.56597,,,,,,,,
3.474058,,,,,7.386131,,,,12.55034,,,,,,,,
3.726875,,,,,7.367484,,,,12.53059,,,,,,,,
3.978285,,,,,7.341835,,,,12.5054,,,,,,,,
4.24288,,,,,7.310619,,,,12.47809,,,,,,,,
4.493492,,,,,7.292788,,,,12.46292,,,,,,,,
4.745415,,,,,7.278352,,,,12.44882,,,,,,,,
4.995687,,,,,7.274694,,,,12.44519,,,,,,,,
5.259525,,,,,2.994118,,,,8.240438,,,,,,,,
5.510153,,,,,2.990627,,,,8.236753,,,,,,,,
5.760885,,,,,2.987112,,,,8.234996,,,,,,,,
6.011601,,,,,2.992794,,,,8.241969,,,,,,,,
6.262598,,,,,2.996716,,,,8.245862,,,,,,,,
6.52493,,,,,2.987263,,,,8.237259,,,,,,,,
6.776705,,,,,2.930687,,,,8.187652,,,,,,,,
7.029757,,,,,2.760525,,,,8.015709,,,,,,,,
7.299187,,,,,2.760525,,,,8.015709,,,,,,,,
7.553069,,,,,2.760525,,,,8.015709,,,,,,,,
7.887516,,,,,2.760525,,,,8.015709,,,,,,,,
8.194241,,,,,2.760525,,,,8.015709,,,,,,,,
8.475481,,,,,2.760525,,,,8.015709,,,,,,,,
8.733565,,,,,2.760525,,,,8.015709,,,,,,,,
8.990067,,,,,2.760525,,,,8.015709,,,,,,,,
9.426119,,,,,2.945458,,,,7.856871,,,,,,,,
9.692858,,,,,2.945458,,,,7.856871,,,,,,,,
9.984533,,,,,2.945458,,,,7.856871,,,,,,,,
10.23967,,,,,2.945458,,,,7.856871,,,,,,,,
10.51435,,,,,2.945458,,,,7.856871,,,,,,,,
10.84644,,,,,2.945458,,,,7.856871,,,,,,,,
