time,PalmTurnRight,PalmTurnLeft,PalmUp,PalmDown,PalmTiltLeft,PalmTiltRight,Thumb_Curl,Thumb_Flexion,Thumb_Abduction,Index_Curl,Index_Flexion,Index_Abduction,Index_Opposition,Middle_Curl,Middle_Flexion,Middle_Abduction,Middle_Opposition,Ring_Curl,Ring_Flexion,Ring_Abduction,Ring_Opposition,Pinky_Curl,Pinky_Flexion,Pinky_Opposition
0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0.2640548,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0.5377632,,0.1109717,,0.7043976,,0.1240113,,,,,,,,,,,,,,,,,,
0.7985186,,0.02038819,,0.6814821,,0.1091644,,,,,,,,,,,,,,,,,,
1.072354,,0.03929951,,0.7016863,,0.1094959,,,,,,,,,,,,,,,,,,
1.34704,,0.05097398,,0.6449038,,0.1319016,,,,,,,,,,,,,,,,,,
1.606536,,0.03358499,,0.6471109,,0.1231217,,,,,,,,,,,,,,,,,,
1.895021,,0.01310762,,0.6603385,,0.1134161,,,,,,,,,,,,,,,,,,
2.158376,0,0,,0.6740447,,0.1049847,,,,,,,,,,,,,,,,,,
2.413517,0.01085764,,,0.6782176,,0.1003735,,,,,,,,,,,,,,,,,,
2.677399,0.0324646,,,0.6790324,,0.09986252,,,,,,,,,,,,,,,,,,
2.941043,0.04136837,,,0.6781083,,0.1027011,,,,,,,,,,,,,,,,,,
3.216385,0.4229042,,0.7041744,,,0.1357407,0.08083496,1.769043,0.2537808,0.2845226,0.6111458,0.1498224,0.07810447,0.3211311,0.7199137,0.08567532,0.1433563,0.3379925,0.7015673,0.08537332,0.1891598,0.08083496,0.6443464,0.2358302
3.474058,,0.03159999,0.5262593,,0.2890075,,0.03601189,-0.3323563,0.2620177,0.2259571,0.2748691,0.1963176,0.3044912,0.1428181,0.4934677,0.1823757,0.3763579,0.1819172,0.5731157,0.1670321,0.4009096,0.03601189,0.6322559,0.4498039
3.726875,0.06882578,,0.448682,,0.4624456,,0.02020817,-0.01819687,0.197447,0.05664291,0.2967547,0.1945047,0.3088035,0.02299995,0.3073902,0.1552625,0.4324558,0.07764168,0.2214928,0.232899,0.4841926,0.02020817,0.1401064,0.5360632
3.978285,,0.05089612,0.4305083,,0.2018844,,0.03157005,-0.05607147,0.2250102,0.09343433,0.2467813,0.1737369,0.32168,0.08593349,0.3031305,0.1407232,0.426241,0.1462665,0.2220085,0.2293139,0.4705572,0.03157005,0.107287,0.5426902
