time,Stimuli_Woman&KnockingSoundResume_trigger,Stimuli_KnockingSoundResume_trigger,Stimuli_Woman&KnockingSoundPause_trigger,Stimuli_DoorOpeningSound_trigger,Stimuli_DoorOpeningSound_distance,Stimuli_WomanSound_trigger,Stimuli_DoorKnockingSound_trigger,Stimuli_DoorFrontArea_trigger,Stimuli_DoorFrontArea_distance,Stimuli_EnvironmentSound_trigger,ClosetDoor_Handle_trigger,RedDoor_Lock_trigger,RedDoor_Handle_trigger,Door_3_Handle_trigger,Door_2_Handle_trigger,RightHandLight_trigger,LeftHandLight_trigger
0,,,,,6.810084,,,,11.93666,,,,,,,,
0.3183362,,,,,7.670605,,,,12.90899,,,,,,,,
0.5791371,,,,,7.711756,,,,12.94532,,,,,,,,
0.8460327,,,,,7.735071,,,,12.96811,,,,,,,,
1.132843,,,,,7.74443,,,,12.97685,,,,,,,,
1.41039,,,,,7.737354,,,,12.97121,,,,,,,,
1.66507,,,,,7.708632,,,,12.94443,,,,,,,,
1.916165,,,,,7.655245,,,,12.8937,,,,,,,,
2.179426,,,,,5.892892,,,,11.12465,,,,,,,,
2.441979,,,,,5.852684,,,,11.08282,,,,,,,,
2.695571,,,,,5.819913,,,,11.04697,,,,,,,,
2.951012,,,,,4.646377,,,,9.883304,,,,,,,,
3.20618,,,,,4.644022,,,,9.879202,,,,,,,,
3.458966,,,,,3.396756,,,,8.659726,,,,,,,,
3.716768,,,,,3.390213,,,,8.653229,,,,,,,,
3.992726,,,,,2.949753,,,,8.207779,,,,,,,,
4.249079,,,,,2.944426,,,,8.201756,,,,,,,,
4.511533,,,,,2.932358,,,,8.18688,,,,,,,,
4.770494,,,,,2.914325,,,,8.167533,,,,,,,,1
5.022238,,,,,2.916637,,,,8.172685,,,,,,,,1
5.285868,,,,,2.9254,,,,8.182377,,,,,,,,1
5.538036,,,,,2.938699,,,,8.195999,,,,,,,,1
5.789377,,,,,2.934304,,,,8.191259,,,,,,,,1
6.041937,,,,,2.930649,,,,8.18636,,,,,,,,1
6.292263,,,,,1.736606,,,,6.998129,,,,,,,,1
6.544214,,,,,1.741489,,,,7.002223,,,,,,,,1
6.794345,,,,,1.73968,,,,6.998278,,,,,,,,1
7.045528,,,,,1.730594,,,,6.984937,,,,,,,,1
7.296104,,,,,1.417531,,,,6.630169,,,,,,,,1
7.546373,,,,,1.405065,,,,6.616059,,,,,,,,1
7.807019,,,,,1.382243,,,,6.59587,,,,1,,1,,1
8.061893,,,,,1.340304,,,,6.558961,,,,1,,1,,1
8.324704,,,,,1.299577,,,,6.520916,,,,1,,1,,1
8.575365,,,,,1.272569,,,,6.496553,,,,1,,1,,1
8.828311,,,,,1.26202,,,,6.4885,,,,,,,,1
9.090905,,,,,1.263021,,,,6.493103,,,,,,,,1
9.34203,,,,,1.265961,,,,6.497401,,,,,,,,1
9.595518,,,,,0.7972264,,,,5.761963,1,,,,,,,1
9.87153,,,,,0.7979501,,,,5.764881,1,,,,,,,1
10.13364,,,,,0.7722697,,,,5.756169,1,,,,,,,1
10.38536,,,,,0.7772805,,,,5.754406,1,,,,,,,1
10.63547,,,,,0.9682329,,,,4.765265,,,,,,,,
10.88656,,,,,0.9510011,,,,4.769126,,,,,,,,1
11.13657,,,,,0.9432899,,,,4.758705,,,,,,,,1
11.38751,,,,,0.966109,,,,4.723794,,,,,1,,,1
11.63834,,,,,1.001088,,,,4.688545,,,,,1,,,1
11.88847,,,,,1.020268,,,,4.669184,,,,,1,,,1
12.14079,,,,,1.01242,,,,4.672031,,,,,,,,1
12.39116,,,,,0.9981952,,,,4.675482,,,,,,,,1
12.6419,,,,,0.9820001,,,,4.684543,,,,,,,,1
12.89389,,,,,0.9746829,,,,4.69533,,,,,,,,1
13.14415,,,,,1.602203,,,,3.995156,,,,,,,,1
13.39522,,,,,1.595877,,,,3.999456,,,,,,,,1
13.64643,,,,,1.584926,,,,4.006793,,,,,,,,
13.90827,,,,,1.576504,,,,4.00579,,,,,,,,1
14.15933,,,,,1.569797,,,,4.005253,,,,,,,,1
14.41086,,,,,1.562706,,,,4.009655,,,,,,,,1
14.66476,,,,,2.873934,,1,,2.717402,,,,,,,,1
