time,PalmTurnRight,PalmTurnLeft,PalmUp,PalmDown,PalmTiltLeft,PalmTiltRight,Thumb_Curl,Thumb_Flexion,Thumb_Abduction,Index_Curl,Index_Flexion,Index_Abduction,Index_Opposition,Middle_Curl,Middle_Flexion,Middle_Abduction,Middle_Opposition,Ring_Curl,Ring_Flexion,Ring_Abduction,Ring_Opposition,Pinky_Curl,Pinky_Flexion,Pinky_Opposition
0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0.3183362,0.4675188,,0.0342477,,,0.7723225,0.07659264,2.090871,0.2455322,0.2167961,0.1947765,0.1982127,0.336152,0.2437378,0.2826737,0.1315312,0.3581634,0.2654839,0.2142429,0.2276833,0.3913036,0.07659264,0.05064964,0.4653625
0.5791371,0.3062508,,0.3845953,,,0.7005821,0.1139034,2.208193,0.1230768,0.2431229,0.6403383,0.2431007,0.1890359,0.3364372,0.3541164,0.194829,0.3242943,0.3686852,0.1484551,0.333957,0.4026982,0.1139034,-0.06468163,0.5170164
0.8460327,0.1393246,,0.2989717,,,0.8015488,0.1297466,2.138346,0.2074971,0.2725197,0.47108,0.2202274,0.2431749,0.4041859,0.2468239,0.2213074,0.3212261,0.3937628,0.05654335,0.344899,0.4095152,0.1297466,-0.09166584,0.4992768
1.132843,0.50684,,0.3736033,,,0.5804189,0.1014832,1.863673,0.1197116,0.2886829,0.4292538,0.1614551,0.1684926,0.3890438,0.4168135,0.1167098,0.1473533,0.4119688,0.4020033,0.1474456,0.1486245,0.1014832,0.3320108,0.2224437
1.41039,0.06192992,,,0.484288,,0.4104709,0.09561042,1.635419,0.0837456,0.226162,0.4320402,0.1532816,0.1656847,0.263863,0.4144711,0.1368722,0.2351702,0.3041039,0.3971063,0.1604223,0.2606752,0.09561042,0.3036846,0.3284712
1.66507,,0.1609994,,0.4166162,,0.2741215,0.1430279,1.477428,0.09538854,0.213372,0.4389641,0.1432557,0.1619619,0.2597012,0.4505652,0.1241032,0.2062061,0.2789823,0.4356503,0.1398972,0.2335911,0.1430279,0.3454821,0.2862096
1.916165,,0.09781151,,0.5132005,,0.1547329,0.2549555,1.442982,0.1554523,0.2563294,0.4662251,0.1399517,0.1415715,0.3078747,0.4500569,0.1203844,0.186211,0.3514008,0.4121069,0.1317766,0.205215,0.2549555,0.3315889,0.2504122
2.179426,,0.108166,,0.4365351,,0.2378196,0.229245,1.210858,0.1381467,0.2650005,0.4481411,0.1430564,0.1485407,0.3032696,0.4795683,0.1250742,0.2022012,0.3474777,0.4683515,0.1230512,0.2279675,0.229245,0.3829008,0.2776274
2.441979,,0.2212785,,0.4059674,,0.1182833,0.2838356,1.563609,0.2103947,0.2322811,0.4511105,0.1447503,0.1696904,0.2434584,0.436871,0.1200823,0.2006549,0.2722828,0.3790302,0.1422221,0.2035661,0.2838356,0.2764931,0.2253577
2.695571,,0.1463747,,0.3846793,,0.1344114,0.2566429,1.606913,0.1653976,0.2588121,0.4407951,0.1449638,0.1539653,0.2837492,0.4383844,0.1143939,0.1845843,0.3157662,0.3726055,0.1462932,0.1999008,0.2566429,0.2422613,0.2459328
2.951012,,0.07008316,,0.3462803,,0.1260073,0.2523888,1.6239,0.1254843,0.2557693,0.4753426,0.1382229,0.1452603,0.2997082,0.4752068,0.1162004,0.1808256,0.3475344,0.4473009,0.1202093,0.1903042,0.2523888,0.3627531,0.2317931
3.20618,,0.1067575,,0.3634477,,0.2312708,0.2224903,1.574625,0.1487513,0.2623423,0.4832388,0.132364,0.1278117,0.2832291,0.4926197,0.1127463,0.1756403,0.3187893,0.4486946,0.1288522,0.1998583,0.2224903,0.3339806,0.253205
3.458966,,0.05867379,,0.3494313,,0.2111956,0.249305,1.457796,0.1580915,0.268206,0.4493746,0.1378735,0.1377013,0.2945492,0.4455221,0.1274821,0.1883366,0.337961,0.4325119,0.1265976,0.2007051,0.249305,0.3763813,0.2410967
3.716768,,0.07172363,,0.2732044,,0.2713056,0.2526636,1.376499,0.06526589,0.2781412,0.329146,0.2126325,0.1812593,0.3661596,0.4560204,0.1178822,0.1691687,0.4016113,0.4346691,0.1304975,0.1974836,0.2526636,0.30805,0.2581596
3.992726,,0.08810906,,0.1049747,,0.4213028,0.1915279,1.561976,0.1667034,0.2107239,0.1258608,0.1729971,0.2990259,0.2118715,0.2049229,0.1504394,0.3325441,0.2194546,0.2531244,0.1604524,0.3173709,0.1915279,0.2551317,0.3200798
4.249079,,0.1178837,,0.03268569,,0.4431444,0.0534256,-0.7354975,0.2715394,0.184874,0.1319101,0.1832443,0.3465771,0.2052128,0.1900837,0.1413535,0.4055457,0.2075355,0.1964729,0.1924265,0.4255965,0.0534256,0.16943,0.4501057
4.511533,,0.3708158,,0.07075621,,0.7008816,0.0161211,-1.083714,0.4547568,0.1341377,0.09046192,0.2005333,0.4618475,0.1650543,0.1607107,0.1592612,0.4989168,0.1686838,0.2199484,0.1946355,0.4838224,0.0161211,0.2282042,0.4849056
