time,ChestTurnRight,ChestTurnLeft
0,null,null
0.3183362,0.7460647,
0.5791371,0.8484947,
0.8460327,0.8460525,
1.132843,0.5686586,
1.41039,0.4122621,
1.66507,0.0821952,
1.916165,0.03191352,
2.179426,0.1019545,
2.441979,0.1100618,
2.695571,0.05193138,
2.951012,,0.06079438
3.20618,,0.2007692
3.458966,,0.2695422
3.716768,,0.3169034
3.992726,,0.3474253
4.249079,,0.2818692
4.511533,,0.06204741
4.770494,0.03832358,
5.022238,0.04735708,
5.285868,0.06589541,
5.538036,0.5480315,
5.789377,0.491361,
6.041937,0.3470203,
6.292263,0.2420397,
6.544214,0.119483,
6.794345,,0.01716915
7.045528,,0.09158812
7.296104,,0.1294146
7.546373,,0.2096799
7.807019,,0.3151109
8.061893,,0.4363019
8.324704,,0.5719696
8.575365,,0.5741173
8.828311,,0.5052148
9.090905,,0.3837423
9.34203,,0.397308
9.595518,,0.4030355
9.87153,,0.3632886
10.13364,,0.2159719
10.38536,,0.2034182
10.63547,,0.2240211
10.88656,,0.2722598
11.13657,,0.3858757
11.38751,,0.4818139
11.63834,,0.5576
11.88847,,0.6123366
12.14079,,0.5265729
12.39116,,0.31909
12.6419,,0.3166967
12.89389,,0.3369945
13.14415,,0.332138
13.39522,,0.2648104
13.64643,,0.2347377
13.90827,,0.2119347
14.15933,,0.1987157
14.41086,,0.2019309
14.66476,,0.1952098
15.04254,,0.2623481
15.29939,,0.3280759
15.54953,,0.4357576
15.81288,,0.510122
16.07633,,0.5664045
16.32792,,0.6137676
16.58058,,0.7597419
16.84613,,0.9729665
17.10933,,1.134623
17.36077,,1.327315
17.61093,,1.436151
17.86251,,1.520674
18.11411,,1.555517
18.3772,,1.546055
18.6292,,1.697529
18.89168,,1.756856
19.14315,,1.756732
19.39341,,1.685818
19.64545,,1.655175
19.90833,,1.556241
20.15991,,1.824483
20.42445,,1.73204
20.67605,,1.602018
20.941,,1.542157
21.20622,,1.838202
21.46788,,1.729934
21.71876,,1.626884
21.96887,,1.557932
22.22202,,1.827127
22.48541,,1.866859
22.73581,,1.73278
22.98591,,1.753371
23.23668,,1.745026
23.48866,,1.930602
23.7505,,1.978031
24.0023,,1.883206
24.25294,,1.790951
24.51637,,1.986178
24.76867,,1.981338
25.01907,,1.691619
25.28307,,1.183622
25.53424,,0.7394561
25.78457,,0.4177188
26.03521,,0.1334405
26.28628,0.1001027,
26.53657,0.3323196,
26.80137,0.4469863,
27.05182,0.4856055,
27.31508,0.3933756,
27.58027,0.2198804,
27.84441,0.05607067,
28.10769,0.06874238,
28.36014,0.121674,
28.62385,0.2413081,
28.87496,0.5328215,
29.12529,0.6736323,
29.37664,0.7215713,
29.62719,0.7566031,
29.87825,0.7621313,
30.12889,0.7352747,
30.37904,0.5705699,
30.64328,0.2405511,
30.90601,0.1165385,
31.15744,,0.042081
31.40833,,0.1217543
31.65911,,0.1435114
31.9093,,0.1452526
32.16057,,0.2425974
32.41179,,0.2578275
32.66183,,0.05135446
32.91259,0.1504148,
33.16502,0.07192922,
33.4154,0.06768075,
33.67897,,0.003230446
33.92906,,0.09229813
34.18097,,0.2151658
34.44463,,0.2798614
34.69498,,0.2784591
34.9479,,0.3476413
35.19973,,0.3034464
35.45787,,0.2685089
35.72171,,0.1722807
35.97278,,0.1734667
36.22432,,0.2721063
36.47481,,0.282718
36.72511,,0.1903388
36.97656,0.08232977,
37.22678,0.1698865,
37.47846,0.1548915,
37.7294,0.09395949,
37.98018,0.07749804,
38.24397,,0.006505626
38.49474,,0.1294432
38.74642,,0.1633274
39.00842,,0.181094
39.26135,,0.2002608
39.52668,,0.1649986
39.78905,,0.1189259
40.04043,,0.06019328
40.30423,0.02285448,
40.55862,0.06089339,
40.81962,0.0231997,
41.06982,0.001890824,
41.32125,,0.01057814
41.57141,0.02007772,
41.82235,0.001569713,
42.07257,,0.02395902
42.32326,,0.1144149
42.57469,,0.1644692
42.82497,,0.2185267
43.08862,,0.2418531
43.3391,,0.2550412
43.59112,,0.2664932
43.85486,,0.2816698
44.10525,,0.2849599
44.35645,,0.2829013
44.60816,,0.2472926
44.8706,,0.2631157
45.12202,,0.2400787
45.37493,,0.195907
45.62512,,0.2234851
45.87563,,0.2317971
46.13749,,0.2418702
46.38762,,0.2544494
46.63899,,0.2701155
46.88946,,0.2681958
47.14016,,0.2525758
47.40468,,0.2665001
47.66781,,0.3520286
47.92015,,0.3876942
48.18439,,0.4643936
48.43602,,0.4985701
48.68741,,0.4699975
48.93755,,0.3457676
49.1882,,0.1959024
49.43945,,0.1240089
49.70475,0.02286294,
49.98542,0.1358631,
50.24416,0.06269717,
50.49597,,0.1303507
50.79805,,0.1303507
51.13801,,0.1303507
51.51091,,0.1303507
51.7632,,0.1303507
52.091,,0.1303507
52.3447,,0.1303507
52.59771,null,null
52.8708,null,null
53.13445,null,null
53.43749,null,null
53.75495,null,null
54.05222,null,null
54.31881,null,null
54.63396,null,null
