time,ChestTurnRight,ChestTurnLeft
0,null,null
0.3581741,,0.08306329
0.6162296,0.02266765,
0.870928,0.03978064,
1.144139,,0.03090326
1.41568,,0.1550108
1.666606,,0.1665293
1.929508,,0.1528036
2.191794,,0.148502
2.453251,,0.1438041
2.744272,,0.1288293
2.997517,,0.1377274
3.253793,,0.1571703
3.509084,,0.1654914
3.759475,,0.1880005
4.020056,,0.1572204
4.275588,,0.1579604
4.528721,,0.09034882
4.788483,,0.0406159
5.048246,0.01539292,
5.305566,,0.01852034
5.568001,,0.08765738
5.823793,,0.1010251
6.085053,,0.1501206
6.348433,,0.1982154
6.601375,,0.09991935
6.859091,,0.0281938
7.115811,,0.03310957
7.384107,,0.01937717
7.64399,,0.06923322
7.910303,,0.09420972
8.167498,,0.1280856
8.428341,,0.2472606
8.687735,,0.2576117
8.942637,,0.2196733
9.206954,,0.1729841
9.469975,,0.2167896
9.728838,,0.2216694
9.981801,,0.1453012
10.23471,,0.1630713
10.50523,,0.2346615
10.766,,0.3853163
11.03392,,0.5481945
11.29765,,0.6245175
11.55629,,0.6404417
11.82513,,0.5071434
12.08497,,0.3398777
12.33665,,0.1513884
12.59197,,0.08761093
12.86417,,0.08905213
13.13744,,0.1372576
13.39335,,0.1813845
13.66038,,0.08645574
13.92281,,0.08614436
14.17454,,0.03960219
14.42557,0.1043722,
14.67722,,0.02237368
14.92975,,0.07483065
15.19171,,0.06885812
15.45575,,0.1045606
15.70632,,0.1799082
15.97049,,0.1536344
16.2216,0.02531444,
16.48381,,0.0371072
16.73842,,0.0740484
16.99214,,0.2177778
17.24913,,0.2812221
17.50368,,0.415441
17.7635,,0.5519644
18.01784,,0.4846178
18.27999,,0.3681
18.53459,,0.4761425
18.79811,,0.4297188
19.05193,,0.2467617
19.3118,,0.1105174
19.56185,,0.1019576
19.8286,,0.08895438
20.08084,,0.0767353
20.35711,,0.08558903
20.60988,,0.1926051
20.87228,,0.2583481
21.13721,,0.2178259
21.40141,,0.143939
21.65181,,0.2711504
21.90779,,0.3007893
22.16752,,0.3277868
22.41784,,0.3351601
22.6703,,0.3574355
22.92035,,0.3727863
23.17068,,0.3830267
23.44163,,0.3915062
23.69505,,0.3912105
23.96578,,0.3896235
24.22567,,0.3922925
