time,Stimuli_Woman&KnockingSoundResume_trigger,Stimuli_KnockingSoundResume_trigger,Stimuli_Woman&KnockingSoundPause_trigger,Stimuli_DoorOpeningSound_trigger,Stimuli_DoorOpeningSound_distance,Stimuli_WomanSound_trigger,Stimuli_DoorKnockingSound_trigger,Stimuli_DoorFrontArea_trigger,Stimuli_DoorFrontArea_distance,Stimuli_EnvironmentSound_trigger,ClosetDoor_Handle_trigger,RedDoor_Lock_trigger,RedDoor_Handle_trigger,Door_3_Handle_trigger,Door_2_Handle_trigger,RightHandLight_trigger,LeftHandLight_trigger
0,,,,,6.810084,,,,11.93666,,,,,,,,
0.3581741,,,,,7.280016,,,,12.4624,,,,,,,,
0.6162296,,,,,7.284476,,,,12.46534,,,,,,,,
0.870928,,,,,7.281214,,,,12.46144,,,,,,,,
1.144139,,,,,7.272547,,,,12.45229,,,,,,,,
1.41568,,,,,7.261961,,,,12.44198,,,,,,,,
1.666606,,,,,7.260088,,,,12.44056,,,,,,,,
1.929508,,,,,7.258876,,,,12.43957,,,,,,,,
2.191794,,,,,3.347737,,,,8.598306,,,,,,,,
2.453251,,,,,3.347069,,,,8.596628,,,,,,,,
2.744272,,,,,3.345719,,,,8.594534,,,,,,,,
2.997517,,,,,3.343492,,,,8.591748,,,,,,,,
3.253793,,,,,3.340259,,,,8.588412,,,,,,,,
3.509084,,,,,3.337745,,,,8.585963,,,,,,,,
3.759475,,,,,3.331304,,,,8.579474,,,,,,,,
4.020056,,,,,3.326571,,,,8.574822,,,,,,,,
4.275588,,,,,3.326769,,,,8.575175,,,,,,,,
4.528721,,,,,3.330601,,,,8.579149,,,,,,,,
4.788483,,,,,3.325392,,,,8.574053,,,,,,,,
5.048246,,,,,3.323508,,,,8.57221,,,,,,,,
5.305566,,,,,3.329121,,,,8.577858,,,,,,,,
5.568001,,,,,3.329995,,,,8.578599,,,,,,,,
5.823793,,,,,3.335657,,,,8.584163,,,,,,,,
6.085053,,,,,3.347701,,,,8.59555,,,,,,,,
6.348433,,,,,3.364507,,,,8.610794,,,,,,,,
6.601375,,,,,3.365907,,,,8.612821,,,,,,,,
6.859091,,,,,3.352831,,,,8.600742,,,,,,,,
7.115811,,,,,3.348204,,,,8.59687,,,,,,,,
7.384107,,,,,3.349103,,,,8.598695,,,,,,,,
7.64399,,,,,3.358339,,,,8.608755,,,,,,,,
7.910303,,,,,3.361053,,,,8.611961,,,,,,,,
8.167498,,,,,3.364024,,,,8.615702,,,,,,,,
8.428341,,,,,3.35473,,,,8.606926,,,,,,,,
8.687735,,,,,3.334051,,,,8.58633,,,,,,,,
8.942637,,,,,3.302875,,,,8.554743,,,,,,,,
9.206954,,,,,3.243602,,,,8.495008,,,,,,,,
9.469975,,,,,3.163665,,,,8.413065,,,,,,,,
9.728838,,,,,3.071776,,,,8.315038,,,,,,,,
9.981801,,,,,3.041953,,,,8.277497,,,,,,,,
10.23471,,,,,3.059375,,,,8.29118,,,,,,,,
10.50523,,,,,3.125106,,,,8.358891,,,,,,,,
10.766,,,,,3.264513,,,,8.502487,,,,,,,,
11.03392,,,,,3.342096,,,,8.584663,,,,,,,,
11.29765,,,,,3.412103,,,,8.65481,,,,,,,,
11.55629,,,,,3.412177,,,,8.655389,,,,,,,,
11.82513,,,,,3.352494,,,,8.59875,,,,,,,,
12.08497,,,,,3.279433,,,,8.529235,,,,,,,,
12.33665,,,,,3.234617,,,,8.485874,,,,,,,,
12.59197,,,,,3.218707,,,,8.470335,,,,,,,,
12.86417,,,,,3.202087,,,,8.452972,,,,,,,,
13.13744,,,,,3.187335,,,,8.437123,,,,,,,,
13.39335,,,,,3.190204,,,,8.438857,,,,,,,,
13.66038,,,,,3.219604,,,,8.468024,,,,,,,,
13.92281,,,,,3.284429,,,,8.533785,,,,,,,,
14.17454,,,,,3.34238,,,,8.595083,,,,,,,,
14.42557,,,,,3.383165,,,,8.638331,,,,,,,,
14.67722,,,,,3.40694,,,,8.662404,,,,,,,,
14.92975,,,,,3.409656,,,,8.665163,,,,,,,,
15.19171,,,,,3.406211,,,,8.661764,,,,,,,,
15.45575,,,,,3.404202,,,,8.659952,,,,,,,,
15.70632,,,,,3.084343,,,,8.316294,,,,,,,,
15.97049,,,,,3.074152,,,,8.305123,,,,,,,,
16.2216,,,,,3.066848,,,,8.29874,,,,,,,,
16.48381,,,,,3.067672,,,,8.300091,,,,,,,,
16.73842,,,,,3.078319,,,,8.311524,,,,,,,,1
16.99214,,,,,3.032541,,,,8.257824,,,,,,,,1
17.24913,,,,,2.938827,,,,8.143398,,,,,,,,1
17.50368,,,,,2.961994,,,,8.172105,,,,,,,,1
17.7635,,,,,3.048726,,,,8.274035,,,,,,,,1
18.01784,,,,,3.051994,,,,8.277929,,,,,,,,
18.27999,,,,,2.947118,,,,8.164168,,,,,,,,1
18.53459,,,,,2.862419,,,,8.071486,,,,,,,,
18.79811,,,,,2.86641,,,,8.079255,,,,,,,,1
19.05193,,,,,2.908794,,,,8.128421,,,,,,,,1
19.3118,,,,,2.925865,,,,8.150812,,,,,,,,1
19.56185,,,,,2.914489,,,,8.14194,,,,,,,,
19.8286,,,,,2.905563,,,,8.132995,,,,,,,,
20.08084,,,,,2.901875,,,,8.129101,,,,,,,,
20.35711,,,,,2.905751,,,,8.129943,,,,,,,,
20.60988,,,,,2.916005,,,,8.137857,,,,,,,,
20.87228,,,,,2.942095,,,,8.164145,,,,,,,,
21.13721,,,,,2.917974,,,,8.141548,,,,,,,,
21.40141,,,,,2.92705,,,,8.151081,,,,,,,,
21.65181,,,,,2.964912,,,,8.187867,,,,,,,,
21.90779,,,,,2.961344,,,,8.184501,,,,,,,,
22.16752,,,,,2.964354,,,,8.186568,,,,,,,,
22.41784,,,,,2.96289,,,,8.1847,,,,,,,,
22.6703,,,,,2.969628,,,,8.191255,,,,,,,,
22.92035,,,,,2.974029,,,,8.195432,,,,,,,,
23.17068,,,,,2.976934,,,,8.198757,,,,,,,,
23.44163,,,,,2.976905,,,,8.198914,,,,,,,,
23.69505,,,,,2.975434,,,,8.19767,,,,,,,,
23.96578,,,,,2.976983,,,,8.199071,,,,,,,,
24.22567,,,,,2.979115,,,,8.20116,,,,,,,,
