time,AU1_InnerBrowRaiser,AU2_OuterBrowRaiser,AU4_BrowLowerer,AU5_UpperLidRaiser,AU7_LidTightener,AU43_EyesClosed,AU20_LipStretcher,AU51_HeadTurnLeft,AU52_HeadTurnRight,AU53_HeadUp,AU54_HeadDown,AU55_HeadTiltLeft,AU56_HeadTiltRight,AU61_EyesLookLeft,AU62_EyesLookRight,AU63_EyesLookUp,AU64_EyesLookDown,AU26_JawDrop
0,,,,,,,,,,,,,,,,,,
0.3581741,0.05860295,0,0.3406928,0,0.2675368,0.01764823,0.0009897022,,0.1449264,,0.08516277,,0.05209273,0.0306161,0.01293812,0,0.04737419,0.005048158
0.6162296,0.06157543,0,0.3655937,0,0.2892556,0.01302997,3.944022E-05,,0.06854811,,0.08061005,,0.0254686,0.02658988,0.01700664,0,0.0465033,0.004522773
0.870928,0.05179293,0,0.3646592,0,0.2013389,0.05364187,2.183837E-06,,0.05485482,,0.09975122,,0.02225674,0.1277128,0,0,0.3266942,0.001033592
1.144139,0.06400562,0,0.3731989,0,0.2882331,0.02572735,1.301993E-07,,0.06393915,,0.1152862,,0.002096795,0.2952386,0,0,0.052952,0.007575109
1.41568,0.06717238,0,0.3688912,0,0.2781458,0.009245358,7.889113E-09,,0.1031659,,0.1607604,,0.01079068,0.2620805,0,0,0.04649954,0.009586656
1.666606,0.06183707,0,0.3476759,0,0.268748,0.009015226,4.797984E-10,,0.09699386,,0.1719437,,0.005112519,0.1609649,0,0,0.03863121,0.001278647
1.929508,0.06555436,0,0.3515829,0,0.2745321,0.01203384,4.143149E-11,,0.07563557,,0.1802885,,0.00411803,0.2010714,0,0,0.03925342,0.009541528
2.191794,0.06270919,0,0.3437818,0,0.272139,0.005482725,2.521755E-12,,0.05449206,,0.1908663,,0.008413121,0.1797597,0,0,0.03264347,0.009972796
2.453251,0.05690986,0,0.3965339,0,0.2094711,0.05117592,1.53521E-13,,0.004815671,,0.2276125,,0.005379599,0.3694542,0,0,0.2561803,0.001688966
2.744272,0.0695935,0.0004609619,0.3831317,0,0.270331,0.0179588,6.585856E-15,0.05483674,,,0.273214,,0.005638318,0.3912488,0,0,0.08362286,0.005739226
2.997517,0.06465003,0.0001192736,0.3721908,0,0.2441697,0.01118382,5.688575E-16,0.05541284,,,0.3099689,,0.009611325,0.3111095,0,0,0.06548236,0.002678748
3.253793,0.06883788,2.590203E-05,0.3774339,0,0.2429353,0.02829235,3.462924E-17,0.02550936,,,0.335955,,0.009025424,0.2604136,0,0,0.0682158,0.003690524
3.509084,0.06926405,6.834651E-06,0.3840874,0,0.2449192,0.03007723,2.990992E-18,0.0139314,,,0.330487,,0.01314075,0.2672195,0,0,0.0681687,0.00646014
3.759475,0.05223231,1.492351E-06,0.4381794,0,0.1845604,0.01757561,1.820575E-19,,0.01364758,,0.3334806,,0.009168822,0.1406427,0,0,0.2531982,0.0001450965
4.020056,0.06158078,3.259537E-07,0.3724457,0,0.2402313,0.0327459,1.108228E-20,0.01632375,,,0.3290688,,0.004205102,0.1884148,0,0,0.07067215,0.006362355
4.275588,0.06140102,7.119991E-08,0.3583204,0,0.2514698,0.02870425,6.746407E-22,0.006746254,,,0.32982,0.001281666,,0.1888287,0,0,0.06382295,0.003642616
4.528721,0.06261146,1.880965E-08,0.3649293,0,0.2341372,0.02347445,5.826944E-23,0.1090707,,,0.3393976,,0.02744857,0.1669884,0,0,0.06512412,0.003706747
4.788483,0.06399645,4.108825E-09,0.3554898,0,0.2504191,0.01756213,3.547283E-24,0.1470481,,,0.3323682,,0.02837237,0.1287376,0,0,0.04903578,0.00229886
5.048246,0.06624183,8.974957E-10,0.3580488,0,0.2484719,0.01062452,2.159297E-25,0.1883123,,,0.3287004,,0.01633558,0.1472125,0,0,0.05977831,0.006484504
5.305566,0.0620627,1.960462E-10,0.3474203,0,0.2481729,0.01126748,1.314462E-26,0.1784571,,,0.3290396,,0.02014259,0.1172275,0,0,0.05505164,0.007190289
5.568001,0.05928376,4.282351E-11,0.35431,0,0.1548655,0.04566286,8.00166E-28,0.09770359,,,0.3289819,,0.003333493,0.1050387,0,0,0.1630955,0.0001821096
5.823793,0.05478303,1.131254E-11,0.4138864,0,0.1930658,0.03377343,0.0008555457,0.09587815,,,0.3290004,0.001281666,,0.1403522,0,0,0.1662145,1.301294E-05
6.085053,0.07345214,2.471088E-12,0.402738,0,0.2430947,0.03082441,3.102821E-05,0.06529406,,,0.3325843,0.02526667,,0.1169633,0,0,0.0863736,0.00195499
6.348433,0.07551615,5.397686E-13,0.4034409,0,0.2211988,0.02121877,0.007548211,,0.007727643,,0.3538762,0.006950841,,0.1297178,0,0,0.05843918,7.705172E-05
6.601375,0.06578316,1.179048E-13,0.37194,0,0.2174581,0.01864281,0.003928614,0.07809416,,,0.365885,0.005676747,,0.1741096,0,0,0.04581273,0.003080073
6.859091,0.07141594,3.114973E-14,0.353322,0,0.232347,0.0138101,0.007525876,0.1480058,,,0.35458,,0.006898512,0.196972,0,0,0.04096192,0.003672055
7.115811,0.06905264,6.804215E-15,0.3483849,0,0.2338904,0.01308648,0.003480854,0.1217956,,,0.3350855,,0.01628819,0.223772,0,0,0.04604691,0.002541558
7.384107,0.04317474,1.486276E-15,0.4193454,0,0.178923,0.01775478,0.004896716,0.05714533,,,0.2851934,,0.00770573,0.01138719,0.03246693,0,0.1506988,0.003635161
7.64399,0.004648292,3.246542E-16,0.2221059,0,0.1543366,1.526764E-05,0.004987696,,0.09070946,,0.2368499,0.05084097,,0,0.1354892,0,0.003447896,0.0003028602
7.910303,0.0006609269,7.091168E-17,0.1238242,0,0.1179167,0.0001180358,0.001655273,,0.1367859,,0.1739331,0.06333686,,0.02979216,0.01419844,0,0.0001780633,1.486186E-05
8.167498,0.001980981,1.549005E-17,0.1251184,0,0.03402459,6.160513E-05,0.000923179,,0.1541368,,0.1280174,0.07532601,,0,0.0553714,0,0.01697064,0.01048263
8.428341,0.0007025161,4.092294E-18,0.100504,0,0.0009175024,0.08018266,0.0002543805,,0.2715283,,0.1010659,0.08678388,,0,0.07213714,0,0.3131895,0.0002515823
8.687735,0.0009548159,8.938942E-19,0.007198545,0,0.008763247,0.01426695,1.289673E-05,,0.2600581,,0.1130841,0.0878747,,0,0.0629456,0,0.03229028,1.039247E-05
8.942637,0.002036872,1.952575E-19,0.01168541,0,0.0007423935,0.02539119,7.540469E-07,,0.1641856,,0.2115248,0.03474235,,0.1954823,0,0,0.09590257,5.801479E-07
9.206954,0.003598864,4.264923E-20,0.07372893,0,0.0002925127,0.03411501,0.0006103234,0.006992422,,,0.3396403,,0.04057243,0.492547,0,0,0.07805455,3.464814E-08
9.469975,0.01332147,9.316215E-21,0.04344644,0,0.0007089216,0.009826096,0.001158723,0.1505634,,,0.4657111,0.00425649,,0.1542451,0,0,0.009825887,0.003901052
9.728838,0.02045816,2.461276E-21,0.01521329,0,0.000378503,8.636883E-05,0.02578495,0.1480285,,,0.443878,0.04736678,,0.1925745,0,0,8.636883E-05,0.0001918721
9.981801,0.05147453,5.376251E-22,0.03606164,0,0.04344564,0.001242947,0.09706458,0.2475445,,,0.5131616,0.001300377,,0.2184665,0,0,0.001242947,0.009751572
10.23471,0.06178737,1.174329E-22,0.06623104,0.0002264017,0.008945846,0.00125076,0.1058738,0.2511464,,,0.5480394,,0.001337014,0.1356508,0,0,0.005664141,0.01084285
10.50523,0.05444715,2.565208E-23,0.06590404,1.18492E-05,0.004507663,0.001536026,0.0903033,0.116398,,,0.5656313,0.0320714,,0.07566154,0,0,0.00203177,0.01086457
10.766,0.03546889,6.776809E-24,0.06018531,9.918405E-07,0.02922188,0.01281127,0.06225203,,0.03659825,,0.5785443,0.08113001,,0.3911427,0,0,0.04568136,0.01086556
11.03392,0.01014187,1.223949E-24,0.006597792,4.216116E-08,0.01691233,0.09399514,0.02912016,,0.09632702,,0.6003866,0.1115143,,0.2506146,0,0,0.3434732,0.01086564
11.29765,0.02910796,2.673515E-25,0.01486845,2.562389E-09,0.06225288,0.003062394,0.01304119,,0.1371861,,0.5816759,0.113433,,0.3132977,0,0,0.003062875,0.01086564
11.55629,0.04078839,7.06268E-26,0.01130199,2.212301E-10,0.07259057,0.001690904,0.03162838,,0.1656698,,0.6229961,0.08985196,,0.285798,0,0,0.001690904,0.01086564
11.82513,0.07851863,0.000893731,0.01988567,0.00158298,0.08827502,3.683348E-06,0.05341801,,0.1075228,,0.6221066,0.06173623,,0,0.1039782,0,3.683349E-06,0.004967419
12.08497,0.06536407,0.000186539,0.03173617,4.80265E-05,0.05562645,0.0001240301,0.04033981,,0.1244526,,0.6000944,0.07074663,,0,0.2521909,0,0.0001242175,0.01062751
12.33665,0.06622557,4.882002E-05,0.02386644,3.57404E-06,0.09581086,8.573694E-05,0.03658115,,0.04650442,,0.6083028,0.03468595,,0,0.09226173,0,8.575034E-05,0.01084678
12.59197,0.06224013,0.000899271,0.01514567,0.0003809366,0.06315953,4.794227E-06,0.03781523,,0.08712944,,0.6178108,0.05032849,,0.02410431,0.02034917,0,4.795001E-06,0.009772838
12.86417,0.04274512,0.0001875691,0.08979668,1.452888E-05,0.007483975,0.01511295,0.04392639,,0.1745957,,0.6448866,0.09043275,,0.07958467,0,0,0.04238037,0.0108112
13.13744,0.05882979,3.351979E-05,0.04545592,5.584119E-07,0.01954996,0.0003858016,0.0607622,,0.2677732,,0.664594,0.1186625,,0.1483626,0,0,0.000385914,0.01086341
13.39335,0.05153126,8.840427E-06,0.02876946,4.737573E-08,0.02054925,2.223464E-07,0.05147187,,0.3135638,,0.6715631,0.1280875,,0.121836,0,0,2.2271E-07,0.01086545
13.66038,0.05135395,1.930144E-06,0.007470498,0.006927333,0.04024259,6.76714E-05,0.05991855,,0.236987,,0.6647991,0.1165531,,0.0351687,0.009969412,0,6.767563E-05,0.01086563
13.92281,0.04236195,4.21544E-07,0.004902143,0.0002945943,0.01308977,3.11904E-06,0.07039772,,0.2340052,,0.6226147,0.1320058,,0.02495207,0.02001668,0,3.119204E-06,0.01086564
14.17454,0.03317217,9.208057E-08,0.005962493,1.02882E-05,0.02871887,0.0004597405,0.06041782,,0.2027039,,0.6038207,0.1293012,,0.00842967,0.0360075,0,0.0004754977,0.01086564
14.42557,0.01239552,2.432639E-08,0.04147217,7.897798E-07,0.006653574,0.005815119,0.01127568,0.01615713,,,0.5425779,0.06721067,,0.03951573,0.004364473,0,0.02855183,0.01086564
14.67722,0.01272725,5.31369E-09,0.004150629,4.650023E-08,0.04207033,0.0003911384,0.02334937,,0.1665423,,0.5774196,0.1159339,,0.1390415,0,0,0.0003956537,0.01010052
14.92975,0.01528735,1.1607E-09,0.0007600301,2.810082E-09,0.04169912,0.003107396,0.006755703,,0.1651401,,0.5920612,0.08857706,,0.198562,0,0,0.003107396,0.01083009
15.19171,0.02066803,3.06634E-10,0.0001935786,2.423437E-10,0.03478363,0.004254114,0.02058707,,0.1222348,,0.5810362,0.07572868,,0.1813899,0,0,0.00425411,0.008069347
15.45575,0.01200544,6.697949E-11,0.00355748,1.474609E-11,0.02622204,0.001212591,0.01144615,,0.03921639,,0.5611714,0.05408621,,0.1352717,0,0,0.001212591,0.01022894
15.70632,0.01685881,1.463072E-11,0.02382266,8.97571E-13,0.0144888,0.0001723715,0.02591105,0.07018567,,,0.5710324,0.01083759,,0.2273243,0,0,0.0001870086,0.010836
15.97049,0.03083372,3.195839E-12,0.01109287,5.463668E-14,0.02950299,6.296473E-05,0.03734081,0.08092225,,,0.5977776,0.02294417,,0,0.175566,0,7.830039E-05,0.01086394
16.2216,0.03198908,8.442953E-13,0.007801032,4.719134E-15,0.03649754,5.292954E-06,0.03878655,0.202325,,,0.6085633,0.01284323,,0.001434426,0.04289271,0,6.5224E-06,0.0108655
16.48381,0.03224241,1.844214E-13,0.005725448,2.872647E-16,0.02634679,3.197356E-07,0.04471987,0.1155831,,,0.5753017,0.02661,,0.03999136,0.004328364,0,3.930189E-07,0.01086564
16.73842,0.008669185,4.871925E-14,0.1502523,2.481004E-17,6.479839E-06,0.02383801,0.01737096,0.1114069,,,0.5158901,0.03145819,,0.1995767,0,0,0.06395818,0.009219651
16.99214,0.003792359,1.064241E-14,0.007775387,1.51038E-18,0.0002844571,9.603416E-07,0.004148603,0.000792514,,,0.433731,0.08717142,,0.2171176,0,0,9.613123E-07,0.01078646
17.24913,0.0007022871,2.324624E-15,0.000796072,9.193881E-20,0.0290517,1.13179E-10,1.760073E-05,0.08851137,,,0.4267261,0.07758361,,0.2803477,0,0,1.132751E-10,0.01086107
17.50368,0.0001792871,6.140943E-16,0.0001792229,7.940221E-21,0.0001854989,0.04078897,0.01973443,0.01082867,,,0.4312493,0.06976504,,0.1998519,0,0,0.2478289,0.01086525
17.7635,3.878926E-05,1.341437E-16,0.01352561,4.833745E-22,0.01033244,0.0002104805,0.003433235,,0.1231519,,0.429419,0.05303499,,0.14589,0,0,0.0002197213,0.006423674
18.01784,8.455236E-06,2.930193E-17,0.002198821,2.942521E-23,3.323448E-05,6.735573E-10,2.690302E-05,,0.05542332,,0.4599137,0.04728401,,0.113728,0,0,6.808037E-10,0.01072699
18.27999,1.846117E-06,6.400723E-18,0.0900743,1.791294E-24,9.508764E-07,0.8821632,1.001996E-06,0.0480887,,,0.4659908,0.0551512,,0.05597046,0,0,0.08598787,0.002447101
18.53459,0.003869562,1.690936E-18,0.01180902,1.547132E-25,6.984184E-08,0.00200877,7.804638E-08,,0.01991945,,0.3653731,0.08317783,,0.2874765,0,0,0.002016378,0.008655849
18.79811,0.001402271,3.054053E-19,0.001432589,6.637899E-27,0.005958682,3.430603E-09,3.24779E-09,,0.04243454,,0.3724093,0.03689555,,0.2039053,0,0,3.315899E-08,0.01082286
19.05193,0.00130294,8.067829E-20,0.0003543295,5.732717E-28,0.0003077428,0.002806444,2.79102E-10,,0.0169767,,0.3524208,0.001354962,,0.2702469,0,0,0.002806443,0.005818138
19.3118,0.001406838,1.81687E-20,7.836745E-05,3.823225E-29,1.101538E-05,0.001736825,1.858871E-11,0.01872662,,,0.3528184,0.01212331,,0.3872166,0,0,0.002053659,0.007488074
19.56185,0.002224098,3.968529E-21,0.007712301,2.327185E-30,5.764704E-07,0.02254998,1.131134E-12,,0.0938818,,0.3425666,0.05937016,,0.07225473,0,0,0.03089137,0.009275116
19.8286,0.001639225,1.048462E-21,0.001670259,2.010175E-31,4.825791E-08,0.0019235,9.769879E-14,,0.1227567,,0.2907493,0.0750984,,0.139259,0,0,0.001923614,0.001396141
20.08084,0.001375059,2.290144E-22,0.0003448664,1.223609E-32,0.003054634,5.586597E-07,5.946894E-15,,0.1377931,,0.2694394,0.08353734,,0.09665161,0,0,5.588049E-07,2.857134E-05
20.35711,0.001271967,5.002572E-23,7.440973E-05,7.448797E-34,0.002723404,7.22445E-09,3.620196E-16,,0.08822203,,0.2630999,0.08200489,,0.07006538,0,0,7.22757E-09,1.350131E-06
