time,PalmTurnRight,PalmTurnLeft,PalmUp,PalmDown,PalmTiltLeft,PalmTiltRight,Thumb_Curl,Thumb_Flexion,Thumb_Abduction,Index_Curl,Index_Flexion,Index_Abduction,Index_Opposition,Middle_Curl,Middle_Flexion,Middle_Abduction,Middle_Opposition,Ring_Curl,Ring_Flexion,Ring_Abduction,Ring_Opposition,Pinky_Curl,Pinky_Flexion,Pinky_Opposition
0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0.3581741,,0.2892579,0.481097,,0.1153144,,193.4863,159.7855,27.17461,200.9533,217.1437,15.69516,0.04652234,211.7982,218.4303,12.73155,0.05982574,216.3799,219.73,11.44026,0.06800352,193.4863,221.6568,0.07757499
0.6162296,0.1485161,,0.5718786,,,0.4723931,188.9361,157.4745,34.02341,183.9361,192.2572,19.02196,0.09080079,183.5762,199.3581,14.20849,0.1104635,190.794,193.1772,22.67981,0.1167226,188.9361,185.0445,0.1270292
0.870928,0.0142757,,0.3358668,,,0.5158909,187.9815,255.9534,13.23866,186.9402,195.7615,14.85291,0.06119931,185.2175,202.1704,13.22477,0.0763494,189.377,193.9103,24.52355,0.08428061,187.9815,181.1,0.09945101
1.144139,,0.1163255,0.0683423,,,0.5802485,178.3786,143.1152,49.30593,209.267,192.1841,116.7808,0.07709626,263.209,266.0163,29.82564,0.07862306,266.3481,274.255,27.95062,0.09364432,178.3786,283.1707,0.106611
1.41568,,0.03039866,,0.1221101,,0.7710348,177.3199,141.0742,50.53625,180.7167,191.671,125.6038,0.1011658,252.9435,257.5335,19.86393,0.08295248,248.6513,269.1169,18.52684,0.09974517,177.3199,274.4076,0.113677
1.666606,0.04474833,,,0.12623,,0.7285365,177.003,139.0269,46.75861,182.887,192.6569,116.3125,0.09495308,249.8283,254.1069,19.72689,0.07942279,247.894,266.0198,17.18986,0.09621155,177.003,271.2352,0.1095091
1.929508,0.04913773,,,0.2177128,,0.7288012,202.5767,295.5698,58.62135,246.3152,220.6472,28.52494,0.03364723,246.7909,246.0741,18.18486,0.05238066,246.9851,257.3412,12.84279,0.06606536,202.5767,263.185,0.07240468
2.191794,0.002718825,,,0.1598403,,0.6656218,181.1626,156.9479,79.77408,218.2057,245.3865,36.15858,0.07036535,190.7646,237.1604,27.2249,0.09070509,208.5089,245.9473,12.70222,0.09346052,181.1626,254.0768,0.09827034
2.453251,,0.01630746,,0.06616918,,0.5363572,184.9642,155.6174,30.68752,191.559,180.8416,22.10529,0.08291636,195.9955,193.7235,15.19166,0.09521908,200.9279,180.938,26.04701,0.1082129,184.9642,162.4059,0.1253657
2.744272,,0.01823904,0.149141,,,0.3559419,184.8633,147.3784,28.92632,192.7289,196.4201,21.8601,0.07577334,185.3918,195.9013,18.32434,0.1079754,191.6196,190.089,29.89039,0.1210306,184.8633,180.4801,0.1405392
2.997517,,0.250286,0.4361106,,0.2870159,,176.1089,123.4405,49.87682,190.5332,182.8267,25.55661,0.106352,189.6745,181.4828,18.87293,0.1339924,192.2537,175.6171,32.21244,0.1440433,176.1089,171.8674,0.1552155
3.253793,,0.2254361,0.4952883,,0.217755,,175.6366,90.84746,34.2551,203.1573,191.8117,29.80723,0.07870008,196.7972,179.9515,16.99952,0.1195831,200.1465,181.3163,30.05456,0.1159927,175.6366,195.5556,0.106709
3.509084,,0.1646389,0.4359474,,0.09337245,,195.4128,341.3711,44.98856,211.0049,176.7696,24.94894,0.08922251,210.4543,178.9294,49.99584,0.08757566,224.49,211.2253,26.80839,0.02032804,195.4128,249.2274,0.02225629
3.759475,,0.08430524,0.2985107,,,0.01433313,181.2115,139.2723,50.11452,205.2048,229.937,11.17974,0.04922303,206.2504,235.9054,8.199392,0.06531251,206.0876,234.9665,8.579704,0.07486594,181.2115,231.269,0.08278351
4.020056,,0.1835399,0.2478748,,,0.1258308,182.4267,145.6766,26.91017,190.8905,195.7461,20.50278,0.07064649,186.7907,205.4553,18.15532,0.09475052,190.5553,207.8433,21.05451,0.1052379,182.4267,204.9227,0.1178349
4.275588,,0.1296208,0.2441733,,,0.1387245,183.6143,142.2316,25.90354,193.8294,194.5033,23.21463,0.06911962,195.2948,205.9632,16.29736,0.08837487,196.3279,207.1699,20.90639,0.1004958,183.6143,201.0754,0.1165803
