time,PalmTurnRight,PalmTurnLeft,PalmUp,PalmDown,PalmTiltLeft,PalmTiltRight,Thumb_Curl,Thumb_Flexion,Thumb_Abduction,Index_Curl,Index_Flexion,Index_Abduction,Index_Opposition,Middle_Curl,Middle_Flexion,Middle_Abduction,Middle_Opposition,Ring_Curl,Ring_Flexion,Ring_Abduction,Ring_Opposition,Pinky_Curl,Pinky_Flexion,Pinky_Opposition
0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0.3581741,0.1704943,,,0.7831433,,0.1028616,,,,,,,,,,,,,,,,,,
0.6162296,0.03086257,,0.4860719,,0.298552,,180.4813,294.2122,11.39541,197.895,207.0242,18.16267,0.04821583,192.495,206.8324,19.23108,0.07343493,187.0195,196.4218,29.80903,0.0954418,180.4813,190.6492,0.1147756
0.870928,,0.04516885,0.2717202,,0.5128912,,184.5765,179.5716,20.04,197.1175,194.9314,16.39633,0.06384662,188.9737,201.4903,13.64241,0.08787287,191.2804,194.1984,25.82891,0.099019,184.5765,183.647,0.117634
1.144139,,0.2496056,0.5094655,,,0.01785753,194.706,132.7486,13.44738,223.435,188.9147,34.81016,0.02757905,230.1754,217.6448,19.39126,0.03642234,230.6542,229.9282,9.134414,0.05459221,194.706,224.4855,0.06159165
1.41568,,0.02227844,0.2381418,,0.03912012,,195.1642,163.2415,18.14672,217.8279,197.9029,36.31813,0.03259634,228.8035,225.1859,12.9076,0.04489984,230.0852,228.8833,10.99361,0.05821879,195.1642,220.1625,0.06682283
1.666606,,0.09849102,0.1352168,,0.1500429,,196.0652,175.4552,11.32392,210.5472,195.6257,42.85181,0.03679309,231.8095,220.8629,16.99315,0.04134334,236.736,225.5743,9.82241,0.05657237,196.0652,220.0991,0.06611623
1.929508,,0.09195448,0.1543847,,0.09890509,,195.6153,164.792,12.78126,212.3075,195.6393,43.10814,0.03592899,233.6813,221.3134,15.87064,0.04170441,237.3403,225.486,10.11764,0.05674236,195.6153,220.4195,0.06651174
2.191794,,0.16816,0.2239246,,0.07363494,,194.758,154.3281,16.19066,209.1762,188.6717,17.25394,0.05461261,208.1918,199.3414,13.3821,0.06880226,211.7698,198.2408,14.52615,0.07497394,194.758,190.8415,0.08407238
2.453251,,0.09923194,0.2614056,,0.01701508,,192.985,154.8364,23.17598,196.3794,191.3415,15.80521,0.06920898,188.8134,196.3542,13.1091,0.09347609,190.6859,189.9969,20.19057,0.1033623,192.985,178.1562,0.1148129
2.744272,0.1624265,,0.2334213,,0.6034655,,177.4072,151.1006,34.51033,188.3316,194.5284,22.97779,0.08270594,183.561,199.8454,20.60458,0.1150761,189.0479,199.9966,33.3426,0.1286702,177.4072,201.3949,0.147278
2.997517,0.3480283,,0.3321357,,0.7859994,,173.632,134.9357,51.90403,184.7745,196.0718,22.68531,0.1080664,180.92,204.1044,24.57214,0.1362563,185.1563,212.2799,35.59497,0.141801,173.632,233.3087,0.1371893
3.253793,0.2774906,,0.3424342,,0.3896282,,177.3631,97.93353,46.28143,192.2373,194.7907,22.75087,0.1014175,193.5492,197.7869,19.53306,0.118645,195.7761,199.423,29.0624,0.1213783,177.3631,205.9883,0.1274962
3.509084,0.201993,,0.5442189,,,0.1965984,204.3951,314.0895,11.06505,245.9469,191.0064,26.8938,0.01964019,244.9552,181.8819,17.76101,0.0318685,241.3202,182.1099,21.12899,0.03856863,204.3951,191.7596,0.04795112
3.759475,0.07272217,,0.3464565,,,0.4547254,180.9154,141.5993,35.93036,194.2147,220.194,13.39872,0.05993622,195.9442,223.2719,12.23804,0.07850093,199.7194,210.3379,15.47396,0.09149518,180.9154,194.3956,0.1048801
4.020056,0.201079,,0.2220864,,,0.6048054,178.9034,141.8913,34.79028,183.475,193.3822,20.16175,0.08254668,183.8144,197.9697,17.57656,0.1088487,187.286,203.2049,21.03064,0.1155412,178.9034,206.0654,0.1232913
4.275588,0.08024143,,,0.1117546,,0.4285799,184.3686,139.4774,30.27168,214.8875,196.7014,17.29066,0.05643452,211.1824,211.5177,14.88376,0.07267243,210.2527,219.0927,12.83109,0.0805442,184.3686,221.8724,0.09148116
4.528721,,0.08693203,,0.1735776,,0.3000428,184.6939,126.662,31.56255,194.7543,185.4905,19.143,0.08064768,191.1884,188.5779,16.05238,0.1018493,189.6487,192.9464,21.73627,0.1045722,184.6939,197.5907,0.1044796
4.788483,,0.3161399,,0.3244253,,0.3111904,196.078,329.4081,30.65963,221.2192,228.1444,31.75059,0.008008492,208.4434,212.4308,9.998238,0.03816726,211.2635,210.1526,14.52991,0.03930417,196.078,215.8926,0.04355236
5.048246,,0.3822775,,0.5168354,,0.2151911,,,,,,,,,,,,,,,,,,
5.305566,,0.2484073,,0.3778579,,0.2443323,184.4686,336.8643,28.0491,208.8321,233.6897,27.89474,0.008275383,201.1351,217.2411,11.56182,0.04427667,205.327,205.9901,14.24494,0.0555842,184.4686,198.2616,0.06409675
5.568001,0.2285219,,,0.04786292,,0.2545718,193.8014,91.82365,27.42776,208.4825,233.0569,51.82866,0.02335836,182.59,207.2925,16.74503,0.08796138,184.3177,194.5254,21.24907,0.1039441,193.8014,187.7652,0.1093955
5.823793,0.1037665,,,0.123915,,0.324597,180.0635,129.7986,45.20318,191.8867,191.7514,11.52167,0.09547625,187.5634,197.3143,11.60702,0.1123152,186.7448,194.2968,19.37546,0.1203278,180.0635,187.8894,0.1268857
