time,ChestTurnRight,ChestTurnLeft
0
0.2675304
0.5317452
0.7995469
1.056576
1.306879
1.60131
1.852779
2.107935
2.372453
2.631695
2.884465
3.146203
3.449805
3.715391
3.997471
4.2729
4.579018,,0.1239695
4.858965,,0.318109
5.110655,,0.08037353
5.363161,,0.08797749
5.624822,0.01497768,
5.886926,0.06444652,
6.141555,0.06444652,
6.412821,0.06444652,
6.751206,0.06444652,
7.036793,0.06444652,
7.292664,0.06444652,
7.543828
7.86017,0.3659339,
8.122079,0.4002854,
8.372355,0.3213891,
8.631918,0.1665564,
8.902555,0.0932043,
9.158327,0.06881628,
9.412988,0.07747679,
9.673524,0.09299912,
9.938174,0.104919,
10.18855,0.1397845,
10.44156,0.1791147,
10.70512,0.1782095,
10.95743,0.1737729,
11.20849,0.1767017,
11.45923,0.09991571,
11.7127,0.0603891,
11.99161,0.177725,
12.25472,,0.008001031
12.51519,0.0220221,
12.78199,0.02155525,
13.04465,0.08299385,
13.29485,0.1865331,
13.54537,0.1313237,
13.79654,0.1740219,
14.05451,0.09043919,
14.30651,,0.01653257
14.57984,,0.01653257
14.86436,,0.01653257
15.16295,,0.01653257
15.43771,,0.01653257
15.717,,0.01653257
16.16932,,0.01653257
16.42346
16.83362
17.11745
17.42838
