time,AU1_InnerBrowRaiser,AU2_OuterBrowRaiser,AU4_BrowLowerer,AU5_UpperLidRaiser,AU7_LidTightener,AU43_EyesClosed,AU20_LipStretcher,AU51_HeadTurnLeft,AU52_HeadTurnRight,AU53_HeadUp,AU54_HeadDown,AU55_HeadTiltLeft,AU56_HeadTiltRight,AU61_EyesLookLeft,AU62_EyesLookRight,AU63_EyesLookUp,AU64_EyesLookDown,AU26_JawDrop
0,,,,,,,,,,,,,,,,,,
0.2760853,,,,,,,,,,,,,,,,,,
0.5449327,,,,,,,,,,,,,,,,,,
0.7987911,,,,,,,,,,,,,,,,,,
1.052657,,,,,,,,,,,,,,,,,,
1.318219,,,,,,,,,,,,,,,,,,
1.599036,,,,,,,,,,,,,,,,,,
1.858763,,,,,,,,,,,,,,,,,,
2.120923,,,,,,,,,,,,,,,,,,
2.376327,,,,,,,,,,,,,,,,,,
2.662814,,,,,,,,,,,,,,,,,,
2.921841,,,,,,,,,,,,,,,,,,
3.185226,,,,,,,,,,,,,,,,,,
3.436906,0.2074764,0.02246819,0.7619016,0.00301823,0.483013,0.3157271,0,0.1571802,,0.8449342,,0.03045029,,0.1966369,0,0,0.1822753,0
3.697902,0.1813425,0.009590283,0.7895837,0.0009489249,0.4030908,0.3445172,0,0.05605903,,0.8032926,,,0.0008512965,0.07210407,0,0,0.276697,0
3.953575,0.1732697,0.007225554,0.8796536,0.004629355,0.3608207,0.2971446,0,,0.7505909,0.9645755,,,0.09275298,0.08342588,0,0,0.2328556,0
4.212304,0.1638536,0.01073726,0.748117,0.01398116,0.4188808,0.2869893,0,,0.06097041,0.6758862,,,0.07307221,0.02837871,0.01504368,0,0.2540426,0
4.466471,0.1505142,0.0157377,0.6371245,0.0006432574,0.4192927,0.2096254,0,0.09245165,,0.4099096,,0.09273624,,0.1007181,0,0,0.3326535,0
4.725702,0.13572,0.006833471,0.8124049,5.494951E-06,0.3473509,0.3066448,0,0.12944,,0.3864297,,0.0279052,,0.0692708,0,0,0.3058633,0
4.977818,0.1099092,0.007322322,0.7062629,2.072348E-07,0.3607095,0.2406309,0,0.1607307,,0.5199147,,,0.04611232,0.08172371,0,0,0.3078788,0
5.230633,0.1357884,0.008665137,0.7405031,1.61782E-08,0.4016763,0.2175379,0,0.01820059,,0.6233526,,,0.09342567,0.0428096,0.0007650218,0,0.312716,0
5.490123,0.1379036,0.006028497,0.7441494,9.570963E-10,0.3612794,0.3734942,0,,0.04991745,0.6929052,,,0.09991644,0.01754936,0.02586402,0,0.2569937,0
5.745079,0.1716283,0.01293449,0.7128381,0.0008895014,0.4553503,0.4504652,0,0.04829693,,0.4889532,,,0.03093843,0.03359437,0.009731905,0,0.2170316,0
5.995194,0.08707512,0.08774811,0.09070453,0.1880687,0.2374959,0.0787885,0,0.08589676,,,0.1886584,,0.1297486,0.05291648,0,0.2702576,0,0
6.249019,0.004874308,0.009563795,0.03820451,0.0002379875,0.0186718,1.213721E-08,0,0.182282,,,0.4197656,,0.1325016,0.03056075,0.01261683,0,1.223375E-08,0
6.566883,0.004874308,0.009563795,0.03820451,0.0002379875,0.0186718,1.213721E-08,0,0.182282,,,0.4197656,,0.1325016,0.03056075,0.01261683,0,1.223375E-08,0
6.831084,0.004874308,0.009563795,0.03820451,0.0002379875,0.0186718,1.213721E-08,0,0.182282,,,0.4197656,,0.1325016,0.03056075,0.01261683,0,1.223375E-08,0
7.127616,0.004874308,0.009563795,0.03820451,0.0002379875,0.0186718,1.213721E-08,0,0.182282,,,0.4197656,,0.1325016,0.03056075,0.01261683,0,1.223375E-08,0
7.504261,0.004874308,0.009563795,0.03820451,0.0002379875,0.0186718,1.213721E-08,0,0.182282,,,0.4197656,,0.1325016,0.03056075,0.01261683,0,1.223375E-08,0
8.044443,0.002885459,0.0002357222,0.9998121,4.926278E-06,0.1871365,0.9439314,0.004578895,0.118486,,,0.05751075,0.01916277,,0.1603263,0,0,0.01570085,2.841295E-05
8.300253,0.1125143,0.01309809,0.2827286,5.744049E-07,0.4376594,0.1310935,0.008651834,0.100217,,0.04415714,,0.03367195,,0.08963725,0,0,0.2032061,0.01996709
8.55184,0.04604713,0.01457646,0.1901583,0.004417316,0.2958442,0.02345073,0.006655236,0.09186481,,0.07652515,,0.04916527,,0,0.120904,0,0.04557454,0.01118609
8.816469,0.00793153,0.001847021,0.1852696,0.0001543418,0.1838987,0.04595331,0.001689053,0.08861782,,0.1184268,,0.03599561,,0,0.04568415,0,0.213092,0.005001949
9.070891,0.01893713,0.0004339648,0.2248638,1.185016E-05,0.1821782,0.03130058,6.412766E-05,0.1756631,,0.1122978,,0.077413,,0.0360194,0.007695746,0,0.1621224,0.0009087637
9.322173,0.02225986,9.174431E-05,0.2429672,6.977275E-07,0.2321257,0.01649262,3.069019E-06,0.04346627,,0.0942442,,0.06466655,,0,0.07081855,0,0.1149422,2.372357E-05
9.582091,0.01497762,1.989778E-05,0.3321068,4.216439E-08,0.1806761,0.1966283,1.771498E-07,,0.05592468,0.03318976,,,0.001506899,0.02834049,0.01551743,0,0.2726951,1.189384E-06
9.833559,0.03608363,5.248991E-06,0.2269995,3.636393E-09,0.1568739,0.007481815,1.513415E-08,,0.0160867,,0.0257826,0.0163415,,0,0.07623632,0,0.0665696,0.008436658
10.08721,0.03692286,1.146067E-06,0.2933905,2.21259E-10,0.2223746,0.5654135,9.184058E-10,0.03526435,,,0.08599994,,0.008473207,0.0802956,0,0,0.2265468,0.0003259301
10.3493,0.03660322,3.027536E-07,0.2359941,1.910974E-11,0.1425017,0.009572605,7.927772E-11,0.1483747,,,0.09797651,,0.000792514,0.05852213,0,0,0.06716597,2.168472E-05
10.61218,0.0624338,6.612619E-08,0.2021422,1.163124E-12,0.1751422,0.008473611,4.824541E-12,0.1195086,,,0.08212149,0.07245369,,0.2540692,0,0,0.02932488,0.005885549
10.86605,0.1303087,0.001365538,0.2119478,0.006809607,0.2209796,0.007831043,2.937038E-13,0.1933828,,,0.08632953,0.03745341,,0.1825562,0,0,0.01350806,0.01081349
11.12195,0.3080186,0.06166277,0.2433631,0.0844804,0.2332992,0.006082341,1.787878E-14,0.1433859,,,0.1581489,0.06572626,,0.04092165,0.002220594,0,0.01781654,0.01086357
11.38187,0.3111686,0.05642932,0.2474855,0.09493412,0.2392935,0.001221791,1.54422E-15,0.07392569,,,0.1356361,0.06352949,,0.09227325,0,0,0.004845433,0.01086548
11.6459,0.2807728,0.04108162,0.2133152,0.04343048,0.2084349,0.001180867,9.400286E-17,0.004647185,,,0.152648,0.0605735,,0.1604717,0,0,0.001287908,0.01086563
11.91681,0.2512641,0.03265355,0.2304678,0.01524668,0.2028112,4.681759E-05,5.721773E-18,,0.02283967,,0.2001486,0.05858838,,0.1367496,0,0,0.0001254281,0.01086564
12.17179,0.2076232,0.02313372,0.2252137,1.477525E-05,0.2199741,0.01688333,3.483197E-19,0.01366881,,,0.2990357,0.05639372,,0.1321613,0,0,0.05200459,0.01086564
12.43996,0.169458,0.01943159,0.2914969,2.738956E-07,0.1429332,0.003302511,2.120362E-20,0.06078641,,,0.3668084,0.03990076,,0.1840369,0,0,0.0641919,0.006322519
12.70459,0.1473067,0.01239838,0.2387417,1.269398E-08,0.2167767,0.009792659,0.0008232868,0.02331605,,,0.3598142,0.04789422,,0.1231848,0,0,0.01043377,0.01070849
12.95524,0.1551301,0.01690692,0.2196898,7.27523E-10,0.1893686,0.01010599,3.961254E-05,0.08530091,,,0.4001462,0.005415404,,0.09614988,0,0,0.0101201,0.01085722
13.21058,0.1177728,0.00339491,0.2170129,6.20595E-11,0.1292266,0.01010457,0.02571215,0.1880697,,,0.484853,,0.02392471,0.1818436,0,0,0.01546668,0.0002230992
13.47157,0.05634885,0.0006361593,0.1201522,3.764647E-12,0.1234061,0.01022237,0.009241864,0.2790078,,,0.5179364,,0.02470969,0.1963629,0,0,0.01024324,0.001355601
13.72682,0.02445835,0.0001343997,0.1066913,2.289965E-13,0.1191664,0.01007238,0.004423903,0.2900202,,,0.5024503,,0.02582006,0.2328466,0,0,0.01015976,5.550887E-05
13.98358,0.06631485,3.52622E-05,0.1684946,1.977452E-14,0.1327254,0.03752942,0.0004237106,0.2384887,,,0.2894802,0.01028871,,0.08273476,0,0,0.1211718,0.005881147
14.2501,0.283845,0.06452017,0.148028,0.2776138,0.2214398,0.0004846814,7.500662E-06,0.2237466,,,0.1250979,0.05591862,,0.01107365,0.03203409,0,0.0004846878,0.01083191
14.50311,0.2915795,0.06720528,0.1371396,0.257787,0.1901843,3.544651E-07,5.591679E-07,0.2041783,,,0.0931965,0.06813338,,0.0934453,0,0,3.544758E-07,0.01086355
14.76472,0.238045,0.04280814,0.1285138,0.1183834,0.1178076,3.762722E-09,3.265821E-08,0.2215418,,,0.08597768,0.05709495,,0.1220179,0,0,3.762886E-09,0.01086553
15.01475,0.215691,0.03698027,0.1142135,0.04885723,0.1058964,2.18793E-10,2.796808E-09,0.225553,,,0.08045908,0.0564473,,0.1173097,0,0,2.188034E-10,0.01086563
15.29061,0.2011783,0.03038795,0.1040136,0.05260242,0.1163235,8.331158E-12,0.003800084,0.20059,,,0.07377423,0.07762169,,0.1174071,0,0,8.331564E-12,0.01086564
