time,PalmTurnRight,PalmTurnLeft,PalmUp,PalmDown,PalmTiltLeft,PalmTiltRight,Thumb_Curl,Thumb_Flexion,Thumb_Abduction,Index_Curl,Index_Flexion,Index_Abduction,Index_Opposition,Middle_Curl,Middle_Flexion,Middle_Abduction,Middle_Opposition,Ring_Curl,Ring_Flexion,Ring_Abduction,Ring_Opposition,Pinky_Curl,Pinky_Flexion,Pinky_Opposition
0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0.2633318,0.1674466,,,0.6426182,0.1341328,,,,,,,,,,,,,,,,,,,
0.5244155,,0.01505009,,0.06779259,,0.691823,,,,,,,,,,,,,,,,,,
0.7803734,,0.005031552,0.1669264,,,0.8167111,,,,,,,,,,,,,,,,,,
1.033645,,0.1105401,0.1422386,,,0.7896897,,,,,,,,,,,,,,,,,,
1.315774,,0.2176813,0.05172608,,0.07792714,,,,,,,,,,,,,,,,,,,
1.580544,,0.09259628,0.3292652,,0.4876995,,,,,,,,,,,,,,,,,,,
1.854103,,0.06655246,0.1955637,,0.1155879,,,,,,,,,,,,,,,,,,,
2.123877,,0.1966863,0.377922,,0.5495515,,,,,,,,,,,,,,,,,,,
2.396512,,0.09324539,0.2773733,,0.7024484,,,,,,,,,,,,,,,,,,,
2.667378,,0.2696148,0.6273511,,0.7282926,,,,,,,,,,,,,,,,,,,
2.933009,,0.1282962,0.6479872,,0.5985859,,,,,,,,,,,,,,,,,,,
3.197059,,0.1171359,0.6487784,,0.5529636,,,,,,,,,,,,,,,,,,,
3.459291,,0.118283,0.6362939,,0.508366,,,,,,,,,,,,,,,,,,,
3.720145,,0.1040271,0.4621798,,,0.844242,,,,,,,,,,,,,,,,,,
3.982981,,0.05611811,0.3115925,,,0.7254912,,,,,,,,,,,,,,,,,,
4.245183,0.002427814,,0.1873824,,,0.6901522,,,,,,,,,,,,,,,,,,
4.498164,0.1603655,,,0.4294058,,0.7207359,,,,,,,,,,,,,,,,,,
4.74901,0.1524581,,,0.2915221,,0.8695531,,,,,,,,,,,,,,,,,,
5.003143,0.2044965,,,0.2893018,,0.9172193,,,,,,,,,,,,,,,,,,
5.264693,0.2351915,,,0.3873607,,0.9759475,,,,,,,,,,,,,,,,,,
5.516338,0.2031039,,,0.2580967,,0.9388311,,,,,,,,,,,,,,,,,,
5.767858,0.163882,,,0.3961916,,0.932566,,,,,,,,,,,,,,,,,,
6.030777,0.1464015,,,0.3203087,,0.9542925,,,,,,,,,,,,,,,,,,
6.281042,0.07932555,,,0.05761581,,0.8366552,,,,,,,,,,,,,,,,,,
6.542155,0.1022463,,,0.0584234,,0.8580071,,,,,,,,,,,,,,,,,,
6.810713,,0.02970875,0.1314113,,0.3836968,,,,,,,,,,,,,,,,,,,
7.060822,0.3631722,,0.6952407,,,0.08737411,,,,,,,,,,,,,,,,,,
7.313787,0.4198664,,0.5872728,,,0.1349019,,,,,,,,,,,,,,,,,,
7.577607,0.3303542,,0.2017619,,,0.06476602,,,,,,,,,,,,,,,,,,
7.840808,,1.66129,1.083489,,0.01433144,,,,,,,,,,,,,,,,,,,
8.107294,0.07587753,,,0.03247726,0.3345941,,,,,,,,,,,,,,,,,,,
8.36666,0.2077752,,,0.6231089,0.3790659,,,,,,,,,,,,,,,,,,,
8.619902,0.1340341,,,0.633113,0.3668817,,,,,,,,,,,,,,,,,,,
8.870106,0.4364477,,,0.1822577,0.6175438,,,,,,,,,,,,,,,,,,,
9.132864,0.5995195,,0.1868951,,0.8319106,,,,,,,,,,,,,,,,,,,
9.385839,0.6128257,,0.1990281,,0.9045791,,,,,,,,,,,,,,,,,,,
9.649899,0.5756422,,0.1472737,,0.86904,,,,,,,,,,,,,,,,,,,
9.917848,0.7403744,,0.4885003,,1.073792,,,,,,,,,,,,,,,,,,,
10.17739,0.7406482,,0.429574,,1.03216,,,,,,,,,,,,,,,,,,,
10.4309,0.7490289,,0.4344168,,1.03348,,,,,,,,,,,,,,,,,,,
10.79295,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
