time,PalmTurnRight,PalmTurnLeft,PalmUp,PalmDown,PalmTiltLeft,PalmTiltRight,Thumb_Curl,Thumb_Flexion,Thumb_Abduction,Index_Curl,Index_Flexion,Index_Abduction,Index_Opposition,Middle_Curl,Middle_Flexion,Middle_Abduction,Middle_Opposition,Ring_Curl,Ring_Flexion,Ring_Abduction,Ring_Opposition,Pinky_Curl,Pinky_Flexion,Pinky_Opposition
0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0.2633318,0.01907305,,,0.7192518,,0.1825602,,,,,,,,,,,,,,,,,,
0.5244155,,0.105399,,0.6382535,,0.2272509,,,,,,,,,,,,,,,,,,
0.7803734,,0.2781412,,0.5092024,,0.01127032,,,,,,,,,,,,,,,,,,
1.033645,,0.04258808,,0.2204094,0.4688422,,,,,,,,,,,,,,,,,,,
1.315774,0.1565816,,0.1563619,,0.05368495,,,,,,,,,,,,,,,,,,,
1.580544,0.1744786,,0.3500449,,,0.672778,,,,,,,,,,,,,,,,,,
1.854103,0.1414452,,0.1409085,,,0.2562388,,,,,,,,,,,,,,,,,,
2.123877,0.2148269,,0.4359412,,,0.5682027,,,,,,,,,,,,,,,,,,
2.396512,0.2425695,,0.4663562,,,0.8167359,,,,,,,,,,,,,,,,,,
2.667378,0.3470624,,0.6036159,,,0.752581,,,,,,,,,,,,,,,,,,
2.933009,0.2742687,,0.6471313,,,0.6370957,,,,,,,,,,,,,,,,,,
3.197059,0.3241804,,0.6774527,,,0.6342834,,,,,,,,,,,,,,,,,,
3.459291,0.2399593,,0.6576824,,,0.4882427,,,,,,,,,,,,,,,,,,
3.720145,0.3526937,,0.4799814,,0.9624001,,,,,,,,,,,,,,,,,,,
3.982981,0.2684197,,0.3320219,,0.7747259,,,,,,,,,,,,,,,,,,,
4.245183,0.1410014,,0.1427819,,0.5689717,,,,,,,,,,,,,,,,,,,
4.498164,,0.04300834,,0.2177312,0.2479928,,,,,,,,,,,,,,,,,,,
4.74901,0.05545168,,,0.2348227,0.1583187,,,,,,,,,,,,,,,,,,,
5.003143,0.05952927,,,0.2544715,0.1836297,,,,,,,,,,,,,,,,,,,
5.264693,0.09807498,,,0.2262236,0.1838439,,,,,,,,,,,,,,,,,,,
5.516338,0.09627061,,,0.2233607,0.1803015,,,,,,,,,,,,,,,,,,,
5.767858,0.09058272,,,0.2193079,0.1842822,,,,,,,,,,,,,,,,,,,
6.030777,0.1065787,,,0.2257445,0.1814797,,,,,,,,,,,,,,,,,,,
6.281042,0.1031546,,,0.2273134,0.1763771,,,,,,,,,,,,,,,,,,,
6.542155,0.1093072,,,0.207454,0.2021396,,,,,,,,,,,,,,,,,,,
6.810713,0.07830536,,0.1218065,,,0.09023581,,,,,,,,,,,,,,,,,,
7.060822,0.2229864,,0.6016287,,,0.1290657,,,,,,,,,,,,,,,,,,
7.313787,0.6530154,,0.8063852,,,0.1995582,,,,,,,,,,,,,,,,,,
7.577607,0.4292955,,0.5418618,,,0.1541515,,,,,,,,,,,,,,,,,,
7.840808,0.3270538,,0.1267554,,,0.1389488,,,,,,,,,,,,,,,,,,
8.107294,0.1829532,,,0.2483439,,0.1077917,,,,,,,,,,,,,,,,,,
8.36666,,0.06448369,,0.5626462,,0.1172766,,,,,,,,,,,,,,,,,,
8.619902,,0.160034,,0.6144471,,0.1108896,,,,,,,,,,,,,,,,,,
8.870106,0.04977822,,,0.6699142,,0.07333547,,,,,,,,,,,,,,,,,,
9.132864,0.1456734,,,0.6435913,,0.04430854,,,,,,,,,,,,,,,,,,
9.385839,0.1256386,,,0.6436703,,0.04932388,,,,,,,,,,,,,,,,,,
9.649899,0.1491126,,,0.6184279,,0.05467153,,,,,,,,,,,,,,,,,,
9.917848,0.1879599,,,0.6086081,,0.04034239,,,,,,,,,,,,,,,,,,
10.17739,0.2075649,,,0.6146021,,0.0409561,,,,,,,,,,,,,,,,,,
10.4309,0.2130758,,,0.6176572,,0.04161192,,,,,,,,,,,,,,,,,,
10.79295,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
