time,AU1_InnerBrowRaiser,AU2_OuterBrowRaiser,AU4_BrowLowerer,AU5_UpperLidRaiser,AU7_LidTightener,AU43_EyesClosed,AU20_LipStretcher,AU51_HeadTurnLeft,AU52_HeadTurnRight,AU53_HeadUp,AU54_HeadDown,AU55_HeadTiltLeft,AU56_HeadTiltRight,AU61_EyesLookLeft,AU62_EyesLookRight,AU63_EyesLookUp,AU64_EyesLookDown,AU26_JawDrop
0,,,,,,,,,,,,,,,,,,
0.2633318,0.004571967,0.002043044,0.03367319,2.388674E-07,0.08842286,0.01680295,0.01587753,,0.1472019,,0.2361661,0.01271088,,0,0.1075378,0,0.07637236,0.009735176
0.5244155,0.008518745,0.000404978,0.07292413,0.07620507,0.1453492,0.0002788829,0.01669303,,0.2320563,,0.3483207,0.01927466,,0.04259666,0.0008004074,0,0.0002789077,0.01082535
0.7803734,0.04005571,0.00113109,0.1346995,0.06183676,0.1403658,3.220929E-05,0.04551616,,0.2844872,,0.4466116,0.03713194,,0.02293755,0.02070813,0,3.220929E-05,0.01016411
1.033645,0.07417008,0.0002354757,0.181954,0.02813251,0.1286449,0.000133328,0.09456614,,0.2154253,,0.4675524,0.03116878,,0.1613199,0,0,0.000133328,0.01083024
1.315774,0.07919429,5.08943E-05,0.1859164,0.04408269,0.1568579,8.645428E-06,0.07450092,,0.1062448,,0.4831003,0.01339205,,0.01202858,0.03152188,0,8.645428E-06,0.01086358
1.580544,0.02762112,1.109165E-05,0.1300766,0.00388306,0.1462581,0.0001627503,0.01337853,,0.12337,,0.4590366,0.0339614,,0.08453119,0,0,0.0001627503,0.004968662
1.854103,0.008668913,2.421722E-06,0.06535146,0.06670786,0.1795136,0.0001035556,0.01874972,,0.1138254,,0.4768153,0.03237813,,0.06966439,0,0,0.0001035556,0.010628
2.123877,0.008985865,5.289299E-07,0.09079324,0.0001161498,0.1181165,0.01053958,0.01580341,,0.07817382,,0.4655719,0.02819209,,0.1560524,0,0,0.111374,0.01085245
2.396512,0.006163943,9.552683E-08,0.1023648,3.712378E-07,0.1422565,0.06793731,0.01985746,,0.02740981,,0.3684143,0.01899816,,0.1438989,0,0.04837202,0,0.01086509
2.667378,0.02596237,2.086552E-08,0.1171272,0.3100778,0.2418902,0.0003459696,0.00828931,,0.08830935,,0.2570819,0.01606566,,0.01057074,0.03266362,0.1710745,0,0.01086561
2.933009,0.04982921,0.006232906,0.07221323,0.4135372,0.202325,0.0002915192,0.001392616,,0.1053281,,0.1811639,0.01501312,,0.05283072,0,0,0.0002915193,0.01086564
3.197059,0.02980334,0.003412943,0.05383369,0.3691948,0.1877943,0.0002789869,3.354322E-05,,0.1060655,,0.161652,0.013621,,0.1228829,0,0,0.0002789869,0.01086564
3.459291,0.005380453,0.0006066666,0.05633966,1.53031E-07,0.08112289,0.05634639,0.0002081837,,0.1010758,,0.1585217,0.009681446,,0.1306038,0,0,0.2988701,0.005289409
3.720145,0.004215449,0.0001266282,0.08500676,0.04667896,0.1381202,0.001082061,1.039231E-05,,0.1677504,,0.1896269,,0.003037752,0.1540245,0,0,0.001575807,0.01034964
3.982981,0.00250727,2.738583E-05,0.05837838,0.08917352,0.1575733,1.227382E-08,0.002945323,,0.1473394,,0.2138855,0.008111976,,0.1540812,0,0,1.722038E-08,0.007190459
4.245183,0.002795076,5.96893E-06,0.06780361,0.01495858,0.1499523,7.103132E-05,0.0001178354,,0.156192,,0.2344917,0.02059101,,0.1341192,0,0,0.000155348,0.009310443
4.498164,0.002385603,1.576216E-06,0.05064186,0.02395357,0.1411317,0.005556231,0.006316969,,0.230211,,0.3183348,0.02576479,,0.1088579,0,0,0.006015376,0.01076687
4.74901,0.004548435,3.442533E-07,0.06944428,0.09693014,0.1413592,0.001221801,0.004826369,,0.2600397,,0.3576382,0.02660183,,0.1105642,0,0,0.001260976,0.01086014
5.003143,0.005387616,7.519516E-08,0.06396854,0.08632483,0.1414131,0.0002013619,0.001449068,,0.2816613,,0.3583551,0.03265832,,0.08927235,0,0,0.0002035714,0.01086531
5.264693,0.008464166,1.986414E-08,0.07267287,0.1244174,0.142092,8.118636E-05,0.00664044,,0.2847079,,0.3639976,0.02418287,,0.09979541,0,0,8.13742E-05,0.009221687
5.516338,0.01334072,4.339101E-09,0.09251533,0.1648719,0.156253,0.0001382474,0.001414113,,0.2941212,,0.3618447,0.03311468,,0.0463519,0,0,0.0001382588,0.01078662
5.767858,0.02049825,1.14634E-09,0.07789435,0.172832,0.1612906,2.463186E-05,0.00594893,,0.293145,,0.370326,0.02273364,,0.05949416,0,0,2.463284E-05,0.01085915
6.030777,0.01962827,2.504004E-10,0.08371022,0.1544047,0.1684176,9.782496E-05,0.003672862,,0.3053218,,0.385494,0.03613032,,0.09123315,0,0,9.782502E-05,0.01086525
6.281042,0.01111734,0.003016179,0.04616661,4.706272E-07,0.06109742,0.01861962,0.01523012,,0.311459,,0.4113105,0.04715754,,0.1262913,0,0,0.06247079,0.003158542
6.542155,0.01046776,0.0005707226,0.1361086,1.268475E-10,0.04924052,0.05394161,0.01682141,,0.2698211,,0.4387558,0.05024193,,0.1931489,0,0,0.1140505,0.0007875066
6.810713,0.004978146,0.0001246287,0.1008622,2.17201E-12,0.06707714,0.01406588,0.01202633,,0.07037476,,0.4498922,0.005807168,,0.1611114,0,0,0.04724715,2.78595E-05
7.060822,0.00303437,3.270614E-05,0.1601006,1.359696E-13,0.05923493,0.7442435,0.006093945,,0.02411283,,0.4881937,0.00688449,,0.1164814,0,0,0.1951853,0.001153591
7.313787,0.00660698,7.130391E-06,0.105316,7.550161E-15,0.03668194,0.5060586,4.310386E-05,0.04193887,,,0.4875165,,0.002655901,0.07173178,0,0,0.1157206,0.0106967
7.577607,0.002808802,1.556882E-06,0.02442903,0.006925177,0.03516196,0.01222321,0.001419971,0.04887028,,,0.3959526,0.005196875,,0.02649914,0.01660407,0.04534302,0,0.00410634
7.840808,0.0005355164,3.400606E-07,0.1166853,0.0001724108,2.209671E-05,0.5029665,0.006069451,0.07161689,,,0.07097687,0.0442747,,0,0.5748156,0,0.3247276,0.02712276
8.107294,0.0001375717,8.983005E-08,0.2640125,1.255247E-05,2.590523E-07,0.9197197,0.01505926,0.1082095,,0.0573431,,0.06594718,,0,0.2655282,0,0.06756655,0.03502759
8.36666,0.008438089,1.962332E-08,0.3138234,7.291516E-07,8.759809E-09,0.9040006,0.04949474,0.19218,,0.009244915,,0.05130924,,0,0.2076177,0,0.05649825,0.04832651
8.619902,0.009810116,4.286453E-09,0.3487094,4.393628E-08,4.683882E-10,0.9158462,0.07104219,0.2521018,,,0.1086106,0.06035704,,0,0.2750305,0,0.06191164,0.05312442
8.870106,0.00704913,1.132408E-09,0.3078521,3.786913E-09,3.938886E-11,0.9400337,0.06429673,0.09310333,,,0.0434095,0.04848431,,0.1297309,0,0,0.02523537,0.05179889
9.132864,0.03277048,0.0009988142,0.35224,2.303892E-10,2.37984E-12,0.7699965,0.05911871,0.06122464,,0.05199049,,0.06320875,,0,0.2949741,0,0.1256797,0.05415662
9.385839,0.02696705,0.0002087456,0.3512799,1.402142E-11,1.446179E-13,0.8073268,0.05636655,0.0741007,,0.08610638,,0.05721556,,0,0.3948806,0,0.1286112,0.05483373
