time,Stimuli_Woman&KnockingSoundResume_trigger,Stimuli_KnockingSoundResume_trigger,Stimuli_Woman&KnockingSoundPause_trigger,Stimuli_DoorOpeningSound_trigger,Stimuli_DoorOpeningSound_distance,Stimuli_WomanSound_trigger,Stimuli_DoorKnockingSound_trigger,Stimuli_DoorFrontArea_trigger,Stimuli_DoorFrontArea_distance,Stimuli_EnvironmentSound_trigger,ClosetDoor_Handle_trigger,RedDoor_Lock_trigger,RedDoor_Handle_trigger,Door_3_Handle_trigger,Door_2_Handle_trigger,RightHandLight_trigger,LeftHandLight_trigger
0,,,,,6.810084,,,,11.93666,,,,,,,,
0.2633318,,,,,7.633367,,,,12.82457,,,,,,,,
0.5244155,,,,,7.621348,,,,12.81139,,,,,,,,
0.7803734,,,,,7.614299,,,,12.8043,,,,,,,,
1.033645,,,,,7.610151,,,,12.80116,,,,,,,,
1.315774,,,,,7.604669,,,,12.79663,,,,,,,,
1.580544,,,,,7.600338,,,,12.79288,,,,,,,,
1.854103,,,,,7.600973,,,,12.79437,,,,,,,,
2.123877,,,,,7.607458,,,,12.80153,,,,,,,,
2.396512,,,,,7.620061,,,,12.81409,,,,,,,,
2.667378,,,,,7.644583,,,,12.83709,,,,,,,,
2.933009,,,,,7.663777,,,,12.85469,,,,,,,,
3.197059,,,,,7.669013,,,,12.85934,,,,,,,,
3.459291,,,,,7.669146,,,,12.85946,,,,,,,,
3.720145,,,,,7.666315,,,,12.85671,,,,,,,,
3.982981,,,,,7.659756,,,,12.85062,,,,,,,,
4.245183,,,,,7.64919,,,,12.8404,,,,,,,,
4.498164,,,,,7.63168,,,,12.8233,,,,,,,,
4.74901,,,,,7.625896,,,,12.81775,,,,,,,,
5.003143,,,,,7.624003,,,,12.8156,,,,,,,,
5.264693,,,,,7.621013,,,,12.81239,,,,,,,,
5.516338,,,,,7.620835,,,,12.812,,,,,,,,
5.767858,,,,,7.622469,,,,12.81365,,,,,,,,
6.030777,,,,,7.620933,,,,12.81202,,,,,,,,
6.281042,,,,,7.61023,,,,12.80065,,,,,,,,
6.542155,,,,,7.585378,,,,12.77381,,,,,,,,
6.810713,,,,,7.568376,,,,12.75311,,,,,,,,
7.060822,,,,,7.557043,,,,12.73783,,,,,,,,
7.313787,,,,,7.536776,,,,12.7163,,,,,,,,
7.577607,,,,,7.486919,,,,12.66886,,,,,,,,
7.840808,,,,,7.450613,,,,12.63883,,,,,,,,
8.107294,,,,,7.391862,,,,12.5831,,,,,,,,
8.36666,,,,,7.303238,,,,12.49202,,,,,,,,
8.619902,,,,,7.211317,,,,12.39336,,,,,,,,
8.870106,,,,,7.137843,,,,12.31585,,,,,,,,
9.132864,,,,,7.112303,,,,12.28858,,,,,,,,
9.385839,,,,,7.08738,,,,12.2624,,,,,,,,
9.649899,,,,,7.05504,,,,12.22868,,,,,,,,
9.917848,,,,,7.037688,,,,12.21056,,,,,,,,
10.17739,,,,,7.040528,,,,12.21305,,,,,,,,
10.4309,,,,,7.04383,,,,12.21648,,,,,,,,
10.79295,,,,,6.810084,,,,11.93666,,,,,,,,
